molid,CS
6539592,0.66304347826087
6539600,0.6702127659574469
6539599,0.677083333333333
6539597,0.683673469387755
6539620,0.69
6539617,0.696078431372549
11959377,0.701923076923077
11959682,0.7075471698113209
11959683,0.712962962962963
15872400,0.718181818181818
15872391,0.7232142857142858
15872404,0.7280701754385971
9885504,0.7327586206896551
16219401,0.73728813559322
6539453,0.741666666666667
6539521,0.745901639344262
448008,0.75
6539482,0.7539682539682541
6539478,0.7578125
6539502,0.761538461538461
6539466,0.765151515151515
44386338,0.76865671641791
5329853,0.772058823529412
9827373,0.7753623188405799
53239985,0.7785714285714291
53239984,0.7816901408450699
15872408,0.7847222222222221
6518526,0.787671232876712
56604006,0.790540540540541
53239978,0.793333333333333
5329860,0.796052631578947
56667992,0.7987012987012991
53239955,0.8012820512820509
56681565,0.80379746835443
53239967,informer
9944269,0.80625
9926067,0.8086419753086421
9858662,0.8109756097560981
9901444,0.8132530120481931
11244488,0.81547619047619
11392350,0.8176470588235291
11231939,0.8197674418604649
56604005,0.8218390804597699
56603995,0.8238636363636359
56604013,0.8258426966292142
25263120,0.827777777777778
25263123,0.8296703296703299
25263124,0.831521739130435
16051023,0.833333333333333
56667993,0.8351063829787231
56657596,0.8368421052631579
24949545,0.838541666666667
5329857,0.8402061855670101
5329861,0.841836734693878
9922527,0.8434343434343431
6539751,0.845
6539382,0.846534653465347
449054,0.848039215686274
44397010,0.8495145631067959
6539418,0.850961538461538
44397250,0.8523809523809521
6539411,0.4464285714285711
6539361,0.85377358490566
44397201,0.8551401869158879
11680113,0.8564814814814821
5034,0.8577981651376151
10215776,0.859090909090909
44396990,0.86036036036036
6539439,0.861607142857143
6539414,0.4666666666666671
44397453,0.86283185840708
5329829,0.864035087719298
6539390,0.8652173913043479
10133732,0.8663793103448281
6539417,0.867521367521368
6539413,0.86864406779661
22464120,0.8697478991596641
6539424,0.870833333333333
44397032,0.871900826446281
5329831,0.872950819672131
6539397,0.873983739837398
6539440,0.3
53239988,0.25
57400544,0.875
16236469,0.8759999999999999
57400541,0.876984126984127
57400545,0.8779527559055121
57398861,0.87890625
56603980,0.8798449612403101
56604034,informer
57391875,0.880769230769231
57393604,0.8816793893129771
57400542,0.8825757575757579
57398867,0.8834586466165408
57398866,0.884328358208955
57390087,0.484375
57395317,0.8851851851851851
21701565,0.5
57395310,0.886029411764706
57398144,0.886861313868613
57398145,0.88768115942029
57391091,0.8884892086330941
57403316,0.8892857142857141
57398146,0.8900709219858159
57394599,0.8908450704225351
56604030,0.8916083916083921
57399798,0.8923611111111109
57398147,0.8931034482758621
57396350,0.8938356164383559
57401572,0.894557823129252
57396351,0.89527027027027
57396352,0.8959731543624159
57391092,0.8966666666666671
57399799,0.8973509933774829
57403317,0.8980263157894741
56603966,0.898692810457516
57401573,0.8993506493506491
57394600,0.9
57403318,0.9006410256410259
57401574,0.513888888888889
57398148,0.33333333333333304
57392873,0.901273885350318
57398149,0.901898734177215
57396353,0.90251572327044
57398150,0.903125
57398151,0.526315789473684
57394601,0.5375
57391093,0.903726708074534
57398152,0.547619047619048
57394602,0.9043209876543208
56603975,0.556818181818182
57399800,0.565217391304348
57391094,0.572916666666667
57403319,0.58
57398153,0.586538461538462
57391095,0.592592592592593
57391096,informer
6539099,0.904907975460123
6539097,0.905487804878049
57399801,0.906060606060606
56604024,0.906626506024096
56603997,0.907185628742515
9947709,0.9077380952380948
56604000,0.908284023668639
10272700,0.908823529411765
56603987,0.9093567251461993
57403320,0.9098837209302328
57399802,0.910404624277457
57391097,0.598214285714286
56603973,0.603448275862069
