molid,AS
6539592,0.744444444444444
6539600,0.7484375
6539599,0.752307692307692
6539597,0.756060606060606
6539620,0.759701492537313
6539617,0.763235294117647
11959377,0.766666666666667
11959682,0.77
11959683,0.675
15872400,0.7732394366197181
15872391,0.7763888888888891
15872404,0.7794520547945211
9885504,0.782432432432432
16219401,0.785333333333333
6539453,0.7881578947368421
6539521,0.7909090909090909
448008,0.793589743589744
6539482,0.79620253164557
6539478,0.556521739130435
6539502,0.79875
6539466,0.8012345679012349
44386338,0.41
5329853,0.803658536585366
9827373,0.806024096385542
53239985,0.808333333333333
53239984,0.8105882352941179
15872408,0.8127906976744191
6518526,0.8149425287356321
56604006,0.817045454545455
53239978,0.427272727272727
5329860,0.68
56667992,0.566666666666667
53239955,0.684782608695652
56681565,0.8191011235955059
53239967,informer
9944269,0.5760000000000001
9926067,0.4875
9858662,0.584615384615385
9901444,0.68936170212766
11244488,0.8211111111111109
11392350,0.823076923076923
11231939,0.825
56604005,0.8268817204301079
56603995,0.8287234042553191
56604013,informer
25263120,0.8305263157894741
25263123,0.592592592592593
25263124,0.69375
16051023,0.832291666666667
56667993,0.834020618556701
56657596,0.8357142857142859
24949545,0.8373737373737371
5329857,0.8390000000000001
5329861,0.8405940594059409
9922527,0.842156862745098
6539751,0.8436893203883501
6539382,0.697959183673469
449054,0.845192307692308
44397010,0.846666666666667
6539418,0.8481132075471701
44397250,0.849532710280374
6539411,0.850925925925926
6539361,0.5
44397201,0.8522935779816508
11680113,0.8536363636363641
5034,0.7020000000000001
10215776,0.7058823529411759
44396990,0.854954954954955
6539439,0.85625
6539414,0.857522123893805
44397453,0.8587719298245609
5329829,informer
6539390,0.709615384615385
10133732,0.86
6539417,0.8612068965517241
6539413,0.862393162393162
22464120,0.863559322033898
6539424,0.8647058823529409
44397032,0.865833333333333
5329831,0.8669421487603309
6539397,0.7132075471698109
6539440,0.868032786885246
53239988,0.6
57400544,0.8691056910569109
16236469,0.8701612903225809
57400541,0.8712
57400545,0.8722222222222221
57398861,0.873228346456693
56603980,0.87421875
56604034,informer
57391875,0.8751937984496121
57393604,0.876153846153846
57400542,0.8770992366412209
57398867,0.8780303030303029
57398866,0.878947368421053
57390087,0.879850746268657
57395317,0.8807407407407409
21701565,0.8816176470588242
57395310,0.882481751824817
57398144,0.883333333333333
57398145,0.6068965517241379
57391091,0.884172661870504
57403316,0.885
57398146,0.885815602836879
57394599,0.8866197183098591
56604030,0.8874125874125871
57399798,0.8881944444444441
57398147,0.8889655172413791
57396350,0.88972602739726
57401572,0.89047619047619
57396351,0.8912162162162159
57396352,0.891946308724832
57391092,0.892666666666667
57399799,0.8933774834437092
57403317,0.894078947368421
56603966,0.894771241830065
57401573,0.895454545454546
57394600,0.896129032258065
57403318,0.8967948717948722
57401574,0.8974522292993629
57398148,0.716666666666667
57392873,0.898101265822785
57398149,0.8987421383647801
57396353,0.72
57398150,0.899375
57398151,0.9
57394601,0.900617283950617
57391093,0.9012269938650308
57398152,0.901829268292683
57394602,0.902424242424242
56603975,0.9030120481927708
57399800,0.9035928143712572
57391094,0.904166666666667
57403319,0.9047337278106508
57398153,0.9052941176470592
57391095,0.905847953216374
57391096,informer
6539099,0.9063953488372092
6539097,0.9069364161849708
57399801,0.907471264367816
56604024,0.908
56603997,0.9085227272727272
9947709,0.9090395480225992
56604000,0.909550561797753
10272700,0.910055865921788
56603987,0.910555555555556
57403320,0.911049723756906
57399802,0.911538461538462
57391097,0.9120218579234972
56603973,0.9125
56604049,0.912972972972973
57398154,0.913440860215054
57399803,0.913903743315508
57399804,0.91436170212766
57399805,0.914814814814815
57401575,0.9152631578947372
44397710,0.915706806282722
5329868,0.7232142857142858
5329849,0.916145833333333
5329850,0.9165803108808293
5482344,0.4416666666666671
5329801,0.91701030927835
9901964,0.917435897435897
9604915,0.917857142857143
11604319,0.9182741116751272
11627264,0.918686868686869
11656050,0.9190954773869352
11669455,0.9195
9604912,0.7263157894736841
70682205,0.919900497512438
70696859,0.92029702970297
11717091,0.920689655172414
11605761,0.9210784313725492
44410704,0.921463414634146
10294883,0.9218446601941752
9917474,0.922222222222222
21951965,0.922596153846154
22609796,0.922966507177033
44418540,0.923333333333333
11453116,0.613333333333333
44418539,0.9236966824644548
44418572,0.924056603773585
44418555,0.9244131455399058
44418556,0.924766355140187
44418532,0.9251162790697672
44418533,0.9254629629629628
16099859,0.9258064516129028
11957417,0.619354838709677
25190921,0.9261467889908258
16048194,0.92648401826484
16048415,0.926818181818182
25190924,0.927149321266968
16048303,0.927477477477477
16664858,0.92780269058296
766949,0.928125
44431824,0.928444444444444
766948,0.928761061946903
9927432,informer
24180608,0.929074889867841
44433173,0.9293859649122808
11281930,0.9296943231441048
10160775,0.93
10113568,0.93030303030303
24896610,0.930603448275862
25093474,0.930901287553648
6539574,0.931196581196581
6539584,0.931489361702128
6539603,0.9317796610169492
11617559,0.9320675105485228
44418547,0.9323529411764708
453216,0.932635983263598
9951300,0.9329166666666672
25190926,0.933195020746888
9910722,0.9334710743801652
