coding_CID coding_FDR as_CID as_FDR
6539617 0 6539108 0.1
44386338 0 6539107 0.2
25263123 0 6539086 0.266666666666667
25263124 0 6539087 0.3
16051023 0 6539089 0.32
44397250 0 25218593 0.333333333333333
44397453 0 6539056 0.357142857142857
6539574 0 6539085 0.375
11751266 0 25218614 0.388888888888889
25210972 0 44386338 0.41
25023715 0 53239978 0.427272727272727
25218593 0 5482344 0.441666666666667
6539592 0.0769230769230769 6539369 0.453846153846154
6539600 0.142857142857143 11626927 0.464285714285714
6539599 0.2 25218621 0.473333333333333
6539597 0.25 9926067 0.4875
6539620 0.294117647058823 6539361 0.5
11959377 0.333333333333333 6539049 0.511111111111111
11959682 0.368421052631579 6539047 0.521052631578947
11959683 0.4 11163861 0.53
15872400 0.428571428571429 25210972 0.538095238095238
15872391 0.454545454545455 10308522 0.545454545454545
15872404 0.478260869565217 6539478 0.556521739130435
9885504 0.5 56667992 0.566666666666667
16219401 0.52 9944269 0.576
6539453 0.538461538461538 9858662 0.584615384615385
6539521 0.555555555555556 25263123 0.592592592592593
448008 0.571428571428571 53239988 0.6
6539482 0.586206896551724 57398145 0.606896551724138
6539478 0.6 11453116 0.613333333333333
6539502 0.612903225806452 11957417 0.619354838709677
6539466 0.625 5793317 0.625
5329853 0.636363636363636 6539075 0.63030303030303
9827373 0.647058823529412 6539487 0.635294117647059
53239985 0.657142857142857 11247002 0.64
53239984 0.666666666666667 6539046 0.644444444444444
15872408 0.675675675675676 11751266 0.648648648648649
6518526 0.684210526315789 11269477 0.652631578947368
56604006 0.692307692307692 25210971 0.656410256410256
53239978 0.7 44581765 0.66
5329860 0.707317073170732 25263103 0.663414634146341
56667992 0.714285714285714 25218584 0.666666666666667
53239955 0.720930232558139 9826308 0.669767441860465
56681565 0.727272727272727 11959683 0.675
9944269 0.733333333333333 5329860 0.68
9926067 0.739130434782609 53239955 0.684782608695652
9858662 0.74468085106383 9901444 0.68936170212766
9901444 0.75 25263124 0.69375
11244488 0.755102040816326 6539382 0.697959183673469
11392350 0.76 5034 0.702
11231939 0.764705882352941 10215776 0.705882352941176
56604005 0.769230769230769 6539390 0.709615384615385
56603995 0.773584905660377 6539397 0.713207547169811
56604013 0.777777777777778 57398148 0.716666666666667
25263120 0.781818181818182 57396353 0.72
56667993 0.785714285714286 5329868 0.723214285714286
56657596 0.789473684210526 9604912 0.726315789473684
24949545 0.793103448275862 6539364 0.729310344827586
5329857 0.796610169491525 6539385 0.732203389830508
5329861 0.8 10193464 0.735
9922527 0.80327868852459 25218571 0.737704918032787
6539751 0.806451612903226 25263117 0.740322580645161
6539382 0.80952380952381 6539592 0.744444444444444
449054 0.8125 6539600 0.7484375
44397010 0.815384615384615 6539599 0.752307692307692
6539418 0.818181818181818 6539597 0.756060606060606
6539411 0.82089552238806 6539620 0.759701492537313
6539361 0.823529411764706 6539617 0.763235294117647
44397201 0.826086956521739 11959377 0.766666666666667
11680113 0.828571428571429 11959682 0.77
5034 0.830985915492958 15872400 0.773239436619718
10215776 0.833333333333333 15872391 0.776388888888889
44396990 0.835616438356164 15872404 0.779452054794521
6539439 0.837837837837838 9885504 0.782432432432432
6539414 0.84 16219401 0.785333333333333
5329829 0.842105263157895 6539453 0.788157894736842
6539390 0.844155844155844 6539521 0.790909090909091
10133732 0.846153846153846 448008 0.793589743589744
6539417 0.848101265822785 6539482 0.79620253164557
6539413 0.85 6539502 0.79875
22464120 0.851851851851852 6539466 0.801234567901235
6539424 0.853658536585366 5329853 0.803658536585366
44397032 0.855421686746988 9827373 0.806024096385542
5329831 0.857142857142857 53239985 0.808333333333333
6539397 0.858823529411765 53239984 0.810588235294118
6539440 0.86046511627907 15872408 0.812790697674419
53239988 0.862068965517241 6518526 0.814942528735632
57400544 0.863636363636364 56604006 0.817045454545455
16236469 0.865168539325843 56681565 0.819101123595506
57400541 0.866666666666667 11244488 0.821111111111111
57400545 0.868131868131868 11392350 0.823076923076923
57398861 0.869565217391304 11231939 0.825
56603980 0.870967741935484 56604005 0.826881720430108
57391875 0.872340425531915 56603995 0.828723404255319
57393604 0.873684210526316 25263120 0.830526315789474
57400542 0.875 16051023 0.832291666666667
57398867 0.876288659793814 56667993 0.834020618556701
57398866 0.877551020408163 56657596 0.835714285714286
57390087 0.878787878787879 24949545 0.837373737373737
57395317 0.88 5329857 0.839
21701565 0.881188118811881 5329861 0.840594059405941
57395310 0.882352941176471 9922527 0.842156862745098
57398144 0.883495145631068 6539751 0.84368932038835
57398145 0.884615384615385 449054 0.845192307692308
57391091 0.885714285714286 44397010 0.846666666666667
57403316 0.886792452830189 6539418 0.84811320754717
57398146 0.88785046728972 44397250 0.849532710280374
57394599 0.888888888888889 6539411 0.850925925925926
56604030 0.889908256880734 44397201 0.852293577981651
57399798 0.890909090909091 11680113 0.853636363636364
57398147 0.891891891891892 44396990 0.854954954954955
57396350 0.892857142857143 6539439 0.85625
57401572 0.893805309734513 6539414 0.857522123893805
57396351 0.894736842105263 44397453 0.858771929824561
57396352 0.895652173913044 10133732 0.86
57391092 0.896551724137931 6539417 0.861206896551724
57399799 0.897435897435897 6539413 0.862393162393162
57403317 0.898305084745763 22464120 0.863559322033898
56603966 0.899159663865546 6539424 0.864705882352941
57401573 0.9 44397032 0.865833333333333
57394600 0.900826446280992 5329831 0.866942148760331
57403318 0.901639344262295 6539440 0.868032786885246
57401574 0.902439024390244 57400544 0.869105691056911
57398148 0.903225806451613 16236469 0.870161290322581
57392873 0.904 57400541 0.8712
57398149 0.904761904761905 57400545 0.872222222222222
57396353 0.905511811023622 57398861 0.873228346456693
57398150 0.90625 56603980 0.87421875
57398151 0.906976744186047 57391875 0.875193798449612
57394601 0.907692307692308 57393604 0.876153846153846
57391093 0.908396946564885 57400542 0.877099236641221
57398152 0.909090909090909 57398867 0.878030303030303
57394602 0.909774436090226 57398866 0.878947368421053
56603975 0.91044776119403 57390087 0.879850746268657
57399800 0.911111111111111 57395317 0.880740740740741
57391094 0.911764705882353 21701565 0.881617647058824
57403319 0.912408759124088 57395310 0.882481751824817
