coding_CID coding_FDR as_CID as_FDR
CID044525953 0.790697674418605 CID044479934 0.906976744186047
CID044532478 0.793103448275862 CID044525925 0.90727969348659
CID044525486 0.795454545454545 CID009925594 0.907575757575758
CID009945516 0.797752808988764 CID021027446 0.907865168539326
CID011133737 0.8 CID006539472 0.908148148148148
CID006539498 0.802197802197802 CID006539506 0.908424908424908
CID006539465 0.804347826086957 CID044529229 0.908695652173913
CID044525974 0.806451612903226 CID044433573 0.908960573476703
CID025263108 0.808510638297872 CID006539513 0.909219858156028
CID053317178 0.810526315789474 CID009923028 0.909473684210526
CID066561090 0.8125 CID051356854 0.909722222222222
CID011529890 0.814432989690722 CID044525946 0.909965635738832
CID006539426 0.816326530612245 CID044306199 0.910204081632653
CID051356855 0.818181818181818 CID057396627 0.91043771043771
CID044529278 0.82 CID046214650 0.910666666666667
CID051354327 0.821782178217822 CID006539504 0.910891089108911
CID024804298 0.823529411764706 CID000253268 0.911111111111111
CID044532690 0.825242718446602 CID044305551 0.911326860841424
CID044525951 0.826923076923077 CID053469824 0.911538461538462
CID044529262 0.828571428571429 CID044525938 0.911746031746032
CID051357138 0.830188679245283 CID044532997 0.911949685534591
CID011224168 0.831775700934579 CID051356289 0.91214953271028
CID044279444 0.833333333333333 CID044397192 0.912345679012346
CID044525965 0.834862385321101 CID044525950 0.912538226299694
CID044525922 0.836363636363636 CID044526078 0.912727272727273
CID046927672 0.837837837837838 CID006539492 0.912912912912913
CID006539475 0.839285714285714 CID046215814 0.913095238095238
CID006539458 0.84070796460177 CID044397011 0.913274336283186
CID044525942 0.842105263157895 CID044592502 0.913450292397661
CID044532477 0.843478260869565 CID006539609 0.913623188405797
CID044397393 0.844827586206897 CID044591552 0.913793103448276
CID044532737 0.846153846153846 CID000838889 0.913960113960114
CID009901062 0.847457627118644 CID044529114 0.914124293785311
CID044525967 0.848739495798319 CID070691776 0.914285714285714
CID044571415 0.85 CID009945696 0.914444444444444
CID051356856 0.851239669421488 CID025263100 0.914600550964187
CID044525935 0.852459016393443 CID006539588 0.914754098360656
CID044525954 0.853658536585366 CID044526922 0.914905149051491
CID044532446 0.854838709677419 CID046886665 0.91505376344086
CID071451677 0.856 CID006539463 0.9152
CID044591845 0.857142857142857 CID044397230 0.915343915343915
CID044532526 0.858267716535433 CID005329841 0.915485564304462
CID044525930 0.859375 CID051357954 0.915625
CID044525949 0.86046511627907 CID066561013 0.915762273901809
CID044525920 0.861538461538462 CID025263085 0.915897435897436
CID044525941 0.862595419847328 CID025263102 0.916030534351145
CID044397687 0.863636363636364 CID053469634 0.916161616161616
CID005329477 0.864661654135338 CID000003134 0.916290726817043
CID009879605 0.865671641791045 CID051357696 0.916417910447761
CID009903786 0.866666666666667 CID057391365 0.916543209876543
CID053466728 0.867647058823529 CID000309461 0.916666666666667
CID009935852 0.868613138686131 CID011959683 0.916788321167883
CID006539477 0.869565217391304 CID070683337 0.917391304347826
CID009880709 0.870503597122302 CID044529279 0.917985611510791
CID000069689 0.871428571428571 CID002787267 0.918571428571429
CID044525962 0.872340425531915 CID000000007 0.919148936170213
CID009836405 0.873239436619718 CID009826528 0.919718309859155
CID010358578 0.874125874125874 CID009926791 0.92027972027972
CID025263079 0.875 CID005330286 0.920833333333333
CID044525963 0.875862068965517 CID017754438 0.921379310344828
CID015407403 0.876712328767123 CID006450551 0.921917808219178
CID044525936 0.877551020408163 CID010452739 0.922448979591837
