"coding_CID" "coding_FDR" "as_CID" "as_FDR"
"1" 53239988 0.25 25218614 0.25
"2" 25210971 0.25 10308522 0.333333333333333
"3" 25210972 0.25 6539440 0.388888888888889
"4" 25211574 0.25 6539409 0.416666666666667
"5" 6539440 0.3 11163861 0.45
"6" 57398148 0.333333333333333 6539361 0.486111111111111
"7" 56604049 0.357142857142857 17892742 0.511904761904762
"8" 6603857 0.375 6539108 0.53125
"9" 6539409 0.388888888888889 11453116 0.555555555555556
"10" 6539430 0.4 6539369 0.575
"11" 25218621 0.409090909090909 6539430 0.590909090909091
"12" 25218593 0.416666666666667 25218593 0.604166666666667
"13" 44581245 0.423076923076923 25263123 0.621794871794872
"14" 6539411 0.446428571428571 56667993 0.636904761904762
"15" 6539414 0.466666666666667 56657596 0.65
"16" 57390087 0.484375 6539414 0.661458333333333
"17" 21701565 0.5 57398145 0.67156862745098
"18" 57401574 0.513888888888889 57396350 0.680555555555556
"19" 57398151 0.526315789473684 57398148 0.68859649122807
"20" 57394601 0.5375 56604049 0.695833333333333
"21" 57398152 0.547619047619048 57399803 0.702380952380952
"22" 56603975 0.556818181818182 57399805 0.708333333333333
"23" 57399800 0.565217391304348 11957417 0.713768115942029
"24" 57391094 0.572916666666667 24896610 0.71875
"25" 57403319 0.58 6539107 0.723333333333333
"26" 57398153 0.586538461538462 6539086 0.727564102564103
"27" 57391095 0.592592592592593 6539087 0.731481481481481
"28" 57391097 0.598214285714286 18536613 0.735119047619048
"29" 56603973 0.603448275862069 6603857 0.738505747126437
"30" 57398154 0.608333333333333 6539089 0.741666666666667
"31" 9917474 0.612903225806452 11751266 0.744623655913978
"32" 22609796 0.6171875 11269477 0.747395833333333
"33" 6539422 0.621212121212121 25218621 0.75
"34" 44581222 0.625 25210972 0.752450980392157
"35" 25263274 0.628571428571429 9822610 0.754761904761905
"36" 44571414 0.631944444444444 6518526 0.759259259259259
"37" 25218584 0.635135135135135 53239978 0.763513513513513
"38" 11284937 0.638157894736842 25263120 0.767543859649123
"39" 11307581 0.641025641025641 25263124 0.771367521367521
"40" 44571435 0.64375 16051023 0.775
"41" 11273032 0.646341463414634 6539411 0.778455284552846
"42" 25218571 0.648809523809524 10133732 0.781746031746032
"43" 44532523 0.651162790697674 22464120 0.784883720930233
"44" 22727427 0.653409090909091 6539424 0.787878787878788
"45" 44532204 0.655555555555556 53239988 0.790740740740741
"46" 6539592 0.66304347826087 57390087 0.793478260869565
"47" 6539600 0.670212765957447 21701565 0.796099290780142
"48" 6539599 0.677083333333333 57401572 0.798611111111111
"49" 6539597 0.683673469387755 57403317 0.801020408163265
"50" 6539620 0.69 57401574 0.803333333333333
"51" 6539617 0.696078431372549 57392873 0.805555555555556
"52" 11959377 0.701923076923077 57398151 0.807692307692308
"53" 11959682 0.707547169811321 57394601 0.809748427672956
"54" 11959683 0.712962962962963 57398152 0.811728395061728
"55" 15872400 0.718181818181818 56603975 0.813636363636364
"56" 15872391 0.723214285714286 57399800 0.81547619047619
"57" 15872404 0.728070175438597 57391094 0.817251461988304
"58" 9885504 0.732758620689655 57403319 0.818965517241379
"59" 16219401 0.73728813559322 57398153 0.820621468926554
"60" 6539453 0.741666666666667 57391095 0.822222222222222
"61" 6539521 0.745901639344262 56604000 0.823770491803279
"62" 448008 0.75 10272700 0.825268817204301
"63" 6539482 0.753968253968254 57391097 0.826719576719577
"64" 6539478 0.7578125 56603973 0.828125
"65" 6539502 0.761538461538461 57398154 0.829487179487179
"66" 6539466 0.765151515151515 5482344 0.830808080808081
"67" 44386338 0.76865671641791 9917474 0.832089552238806
"68" 5329853 0.772058823529412 22609796 0.833333333333333
"69" 9827373 0.77536231884058 11281930 0.834541062801932
"70" 53239985 0.778571428571429 6539364 0.835714285714286
"71" 53239984 0.78169014084507 11290221 0.836854460093897
"72" 15872408 0.784722222222222 6539422 0.837962962962963
"73" 6518526 0.787671232876712 11626927 0.839041095890411
"74" 56604006 0.790540540540541 10321190 0.84009009009009
"75" 53239978 0.793333333333333 25210971 0.841111111111111
"76" 5329860 0.796052631578947 25263274 0.842105263157895
"77" 56667992 0.798701298701299 44571414 0.843073593073593
"78" 53239955 0.801282051282051 44571449 0.844017094017094
"79" 56681565 0.80379746835443 25263118 0.84493670886076
"80" 9944269 0.80625 11284937 0.845833333333333
"81" 9926067 0.808641975308642 11307581 0.846707818930041
"82" 9858662 0.810975609756098 44571435 0.847560975609756
"83" 9901444 0.813253012048193 11273032 0.848393574297189
"84" 11244488 0.81547619047619 11328632 0.849206349206349
"85" 11392350 0.817647058823529 25263119 0.85
"86" 11231939 0.819767441860465 44532523 0.85077519379845
"87" 56604005 0.82183908045977 22727427 0.851532567049808
"88" 56603995 0.823863636363636 44536036 0.852272727272727
"89" 56604013 0.825842696629214 56604044 0.852996254681648
"90" 25263120 0.827777777777778 56604020 0.853703703703704
"91" 25263123 0.82967032967033 6539592 0.855311355311355
"92" 25263124 0.831521739130435 6539600 0.856884057971015
"93" 16051023 0.833333333333333 6539599 0.8584229390681
"94" 56667993 0.835106382978723 6539597 0.859929078014184
"95" 56657596 0.836842105263158 6539620 0.86140350877193
"96" 24949545 0.838541666666667 6539617 0.862847222222222
"97" 5329857 0.84020618556701 11959377 0.86426116838488
"98" 5329861 0.841836734693878 11959682 0.865646258503401
"99" 9922527 0.843434343434343 11959683 0.867003367003367
"100" 6539751 0.845 15872400 0.868333333333333
"101" 6539382 0.846534653465347 15872391 0.86963696369637
"102" 449054 0.848039215686274 15872404 0.870915032679739
"103" 44397010 0.849514563106796 9885504 0.872168284789644
"104" 6539418 0.850961538461538 16219401 0.873397435897436
"105" 44397250 0.852380952380952 6539453 0.874603174603175
"106" 6539361 0.85377358490566 6539521 0.875786163522013
"107" 44397201 0.855140186915888 448008 0.876947040498442
"108" 11680113 0.856481481481482 6539482 0.878086419753086
"109" 5034 0.857798165137615 6539478 0.879204892966361
"110" 10215776 0.859090909090909 6539502 0.88030303030303
"111" 44396990 0.86036036036036 6539466 0.881381381381381
"112" 6539439 0.861607142857143 44386338 0.882440476190476
"113" 44397453 0.86283185840708 5329853 0.883480825958702
"114" 5329829 0.864035087719298 9827373 0.884502923976608
"115" 6539390 0.865217391304348 53239985 0.885507246376812
"116" 10133732 0.866379310344828 53239984 0.886494252873563
"117" 6539417 0.867521367521368 15872408 0.887464387464387
"118" 6539413 0.86864406779661 56604006 0.888418079096045
"119" 22464120 0.869747899159664 5329860 0.889355742296919
"120" 6539424 0.870833333333333 56667992 0.890277777777778
"121" 44397032 0.871900826446281 53239955 0.891184573002755
"122" 5329831 0.872950819672131 56681565 0.89207650273224
"123" 6539397 0.873983739837398 9944269 0.892953929539295
"124" 57400544 0.875 9926067 0.893817204301075
"125" 16236469 0.876 9858662 0.894666666666667
"126" 57400541 0.876984126984127 9901444 0.895502645502645
"127" 57400545 0.877952755905512 11244488 0.896325459317585
"128" 57398861 0.87890625 11392350 0.897135416666667
"129" 56603980 0.87984496124031 11231939 0.897932816537468
"130" 57391875 0.880769230769231 56604005 0.898717948717949
"131" 57393604 0.881679389312977 56603995 0.899491094147583
"132" 57400542 0.882575757575758 24949545 0.900252525252525
"133" 57398867 0.883458646616541 5329857 0.901002506265664
"134" 57398866 0.884328358208955 5329861 0.901741293532338
