dataset,pknb_c,bglf4_c,pknb_p,bglf4_p,rop18_c,rop18_p
PKIS1,0.189,0.268,0.208,0.261,0.500,0.500
PKIS2,0.363,0.393,0.296,0.285,0.500,0.500
