molid,AS
CID000000007,0.557692308
CID000003134,0.970737913
CID000005228,0.930722892
CID000069689,0.916666667
CID000099545,0.925806452
CID000129723,0.969656992
CID000156414,0.719512195
CID000156422,0.960750853
CID000221158,0.971032746
CID000227502,0.940721649
CID000253268,0.961538462
CID000309461,0.971105528
CID000447966,0.953441296
CID000599038,0.7125
CID000667570,0.96577381
CID000838889,0.966763006
CID001489204,0.954365079
CID001491157,0.970663265
CID002409198,0.960616438
CID002787267,0.54
CID005311382,informer
CID005329477,0.912878788
CID005329481,0.961279461
CID005329826,informer
CID005329841,0.969736842
CID005330286,0.651515152
CID006263849,0.936464088
CID006450551,0.680555556
CID006538884,0.941919192
CID006539376,0.937837838
CID006539394,0.944976077
CID006539398,0.85443038
CID006539416,0.922297297
CID006539426,0.882653061
CID006539427,0.938172043
CID006539428,0.961016949
CID006539452,0.932748538
CID006539455,0.808333333
CID006539458,0.357142857
CID006539461,0.953252033
CID006539463,0.96875
CID006539465,0.3
CID006539467,0.25
CID006539470,0.968319559
CID006539472,0.951882845
CID006539473,0.954901961
CID006539475,0.897321429
CID006539477,0.388888889
CID006539480,0.949115044
CID006539481,0.962418301
CID006539486,0.95106383
CID006539492,0.964615385
CID006539496,0.959074733
CID006539498,0.875
CID006539501,informer
CID006539504,0.959930314
CID006539506,0.952868852
CID006539507,0.926282051
CID006539509,0.943627451
CID006539512,0.895454545
CID006539513,0.954183267
CID006539516,0.949781659
CID006539519,0.921768707
CID006539523,0.947727273
CID006539524,0.964939024
CID006539525,0.9425
CID006539528,0.968918919
CID006539529,0.965256798
CID006539550,0.936813187
CID006539565,0.441176471
CID006539566,0.924342105
CID006539569,0.963949843
CID006539571,0.833333333
CID006539572,0.787037037
CID006539578,0.950431034
CID006539579,0.963375796
CID006539582,0.939473684
CID006539587,0.958029197
CID006539588,0.968232044
CID006539591,0.922818792
CID006539602,0.954
CID006539605,0.955078125
CID006539606,0.778846154
CID006539609,0.965875371
CID006539610,0.956928839
CID006539613,0.864705882
CID006539615,0.96179402
CID006918454,informer
CID009814925,0.957407407
CID009826528,0.616666667
CID009836050,0.738636364
CID009836051,0.956766917
CID009836405,0.917857143
CID009861063,0.933139535
CID009865518,0.842465753
CID009879605,0.913533835
CID009880709,0.916058394
CID009888013,0.965976331
CID009901062,0.900862069
CID009903786,0.914179104
CID009914412,0.948888889
CID009923028,0.955426357
CID009925372,0.947488584
CID009925594,0.948430493
CID009926791,0.629032258
CID009929101,0.951680672
CID009935852,0.915441176
CID009945516,0.872222222
CID009945696,0.967329545
CID009958299,0.86627907
CID010028480,0.963492063
CID010086873,0.798245614
CID010135552,0.969168901
CID010151417,0.968144044
CID010158539,0.966076696
CID010161259,0.814516129
CID010173796,informer
CID010183216,0.967048711
CID010186009,0.962783172
CID010186182,0.958781362
CID010239038,0.428571429
CID010267580,0.958181818
CID010278843,0
CID010286382,0.948198198
CID010287409,0.774509804
CID010310395,informer
CID010358578,0.918439716
CID010452739,0.689189189
CID010595057,0.957249071
CID010621826,0.96627566
CID010639924,0.830882353
CID010757558,0.969496021
CID011057468,0.941624365
CID011133737,0.873626374
CID011197671,0.966666667
CID011220119,0.970588235
CID011224168,0.892523364
CID011231979,0.955938697
CID011373846,0.959219858
CID011427162,0.81147541
CID011495551,0.967787115
CID011514099,0.924836601
CID011524582,0.957089552
CID011529890,0.881443299
CID011558948,0.967877095
CID011594774,0.947963801
CID011595752,0.936111111
CID011626560,0.661764706
CID011633551,0.969002695
CID011682470,0.945238095
CID011682680,0.433333333
CID011712734,0.9604811
CID011715767,0.603448276
CID011716589,0.970437018
CID011793277,0.963258786
CID011959683,0.971177945
CID015407403,0.920138889
CID015521230,0.966374269
CID015838857,0.967605634
CID015872399,0.962903226
CID017754438,0.671428571
CID017755233,0.952083333
CID017755746,0.944711538
CID017917696,0.938829787
CID018536633,0.94549763
CID018536646,0.944444444
CID019879232,0.755319149
CID021027446,0.948660714
CID021078798,0.964723926
CID022049997,informer
CID022112846,0.850649351
CID022185475,0.941326531
CID022609863,0.970360825
CID023133388,0.697368421
CID023648887,0.968055556
CID023648890,informer
CID023648920,0.452380952
CID024802788,informer
CID024802961,0.835714286
CID024803300,0.956603774
CID024803301,0.423076923
CID024803786,informer
CID024803787,0.968834688
CID024803957,0
CID024804298,0.887254902
CID024804299,0.967236467
CID024804780,informer
CID024804781,informer
CID024949702,0.933526012
CID025033539,0.640625
CID025093464,0.952674897
CID025121268,0.166666667
CID025190912,0.589285714
CID025190914,0.962295082
CID025263079,0.919014085
CID025263084,0.950643777
CID025263085,0.96997389
CID025263100,0.967966574
CID025263102,0.970284238
CID025263105,0.927672956
CID025263108,0.333333333
CID042618144,0.96866485
CID044269265,0.94278607
CID044279444,0.893518519
