molid,CS
CID006539566,0.9561855670103092
CID011514099,0.956410256410256
CID044525932,0.956632653061224
CID051354328,0.956852791878173
CID000099545,0.87
CID006539507,0.9570707070707072
CID044526068,0.957286432160804
CID044525931,0.9575
CID025263105,0.870967741935484
CID044532683,0.95771144278607
CID044525948,0.957920792079208
CID056673950,0.958128078817734
CID044525956,0.871875
CID044525923,0.958333333333333
CID044525961,0.958536585365854
CID000005228,0.8727272727272729
CID044525934,0.95873786407767
CID053469448,0.8735294117647059
CID053245731,0.9589371980676328
CID057401865,0.9591346153846152
CID006539452,0.8742857142857142
CID009861063,0.95933014354067
CID024949702,0.95952380952381
CID053467392,informer
CID044328970,0.875
CID044528968,0.959715639810427
CID045270417,0.959905660377358
CID024803957,informer
CID044525945,0.9600938967136152
CID070685440,0.8756756756756758
CID045272982,0.8763157894736842
CID045481463,0.960280373831776
CID044525955,0.96046511627907
CID011595752,0.960648148148148
CID006263849,0.960829493087558
CID006539550,0.961009174311927
CID044532432,0.9611872146118722
CID070683338,0.8769230769230769
CID006539376,0.961363636363636
CID006539427,0.961538461538462
CID044525972,0.8775
CID017917696,0.961711711711712
CID057403579,0.9618834080717492
CID024803301,0.9620535714285708
CID010239038,informer
CID006539582,0.962222222222222
CID044525966,0.9623893805309732
CID044526076,0.878048780487805
CID057398392,0.962555066079295
CID000227502,0.962719298245614
CID056680318,0.962882096069869
CID022185475,0.96304347826087
CID011057468,0.8785714285714291
CID006538884,0.8790697674418599
CID044525968,0.8
CID006539525,0.879545454545455
CID044269265,0.963203463203463
CID046215644,0.9633620689655172
CID044532102,0.963519313304721
CID006539509,0.963675213675214
CID044525929,0.963829787234043
CID044532450,0.963983050847458
CID018536646,0.964135021097046
CID017755746,0.9642857142857142
CID006539394,0.964435146443515
CID011682470,0.964583333333333
CID018536633,0.964730290456432
CID044526075,0.9648760330578507
CID044479934,0.88
CID011682680,0.965020576131687
CID057403576,0.965163934426229
CID044527603,0.96530612244898
CID044525933,0.965447154471545
CID045271247,0.9655870445344128
CID044525925,0.8804347826086959
CID009925372,0.9657258064516128
CID006539523,0.965863453815261
CID011594774,0.966
CID010286382,0.9661354581673308
CID009925594,0.966269841269841
CID021027446,0.966403162055336
CID009914412,0.966535433070866
CID006539480,0.966666666666667
CID044525927,0.966796875
CID053469453,0.880851063829787
CID006539516,0.966926070038911
