molid,CS
CID044525968,0.6
CID044525969,0.955844156
CID044525970,0.941176471
CID044525971,0.947852761
CID044525972,0.755
CID044525973,0.944625407
CID044525974,0.879432624
CID044526068,0.914572864
CID044526069,0.9348659
CID044526070,0.817204301
CID044526071,0.849557522
CID044526072,0.947204969
CID044526073,0.824742268
CID044526074,0.949404762
CID044526075,0.929752066
CID044526076,0.756097561
CID044526077,0.953296703
CID044526078,0.77
CID044526099,0.870229008
CID044526685,0.950292398
CID044526922,0.6
CID044527001,0.944805195
CID044527361,0.857142857
CID044527603,0.930612245
CID044527657,0.868217054
CID044528946,0.943521595
CID044528968,0.91943128
CID044529101,0.942372881
CID044529112,0.945337621
CID044529114,informer
CID044529220,0.821052632
CID044529229,0.764705882
CID044529262,0.887417219
CID044529278,0.884353741
CID044529279,0.782051282
CID044529385,0.939716312
CID044529831,0.941580756
CID044532102,0.927038627
CID044532297,0.943143813
CID044532432,0.922374429
CID044532433,0.953038674
CID044532438,0.636363636
CID044532445,0.938405797
CID044532446,0.900584795
CID044532450,0.927966102
CID044532477,0.894409938
CID044532478,0.875
CID044532480,0.952247191
CID044532526,0.901734104
CID044532531,0.955380577
CID044532639,0.936090226
CID044532683,0.915422886
CID044532690,0.88590604
CID044532712,0.954054054
CID044532720,0.871212121
CID044532737,0.895705521
CID044532978,0.947530864
CID044532997,0.6
CID044535870,0.95
CID044536075,0.934108527
CID044571415,0.898203593
CID044578252,0.935849057
CID044578566,0.819148936
CID044578630,0.841121495
CID044578709,0.865079365
CID044591552,0.772307692
CID044591845,0.725
CID044592364,0.935361217
CID044592502,informer
CID045269578,0.828282828
CID045270417,0.919811321
CID045271243,0.775
CID045271244,0.955145119
CID045271247,0.931174089
CID045272980,0.705263158
CID045272982,0.752631579
CID045480848,0.95264624
CID045481463,0.920560748
CID046214650,0.945512821
CID046215644,0.926724138
CID046215814,0.770967742
CID046215816,0.848214286
CID046886665,0.954177898
CID046927597,informer
CID046927672,0.892405063
CID049798353,0.946031746
CID049862644,0.6
CID049862783,0.771875
CID051354036,0.826530612
CID051354327,0.718181818
CID051354328,0.913705584
CID051354901,0.911917098
