molid,CS
CID024803301,0.9067357512953372
CID010239038,informer
CID006539582,0.9072164948453608
CID044525966,0.907692307692308
CID044526076,0.908163265306122
CID057398392,0.908629441624365
CID000227502,0.9090909090909092
CID056680318,0.9095477386934672
CID022185475,0.91
CID011057468,0.91044776119403
CID006538884,0.9108910891089108
CID044525968,0.911330049261084
CID006539525,0.911764705882353
CID044269265,0.91219512195122
CID046215644,0.912621359223301
CID044532102,0.91304347826087
CID006539509,0.913461538461538
CID044525929,0.913875598086124
CID044532450,0.914285714285714
CID018536646,0.914691943127962
CID017755746,0.915094339622642
CID006539394,0.9154929577464792
CID011682470,0.91588785046729
CID018536633,0.916279069767442
CID044526075,0.916666666666667
CID044479934,0.0
CID011682680,0.91705069124424
CID057403576,0.917431192660551
CID044527603,0.917808219178082
CID044525933,0.918181818181818
CID045271247,0.918552036199095
CID044525925,0.9189189189189192
CID009925372,0.919282511210762
CID006539523,0.919642857142857
CID011594774,0.92
CID010286382,0.920353982300885
CID009925594,0.920704845814978
CID021027446,0.921052631578947
CID009914412,0.921397379912664
CID006539480,0.921739130434783
CID044525927,0.922077922077922
CID053469453,0.922413793103448
CID006539516,0.92274678111588
CID044536075,0.923076923076923
CID044328896,0.923404255319149
CID006539578,0.923728813559322
CID025263084,0.924050632911392
CID044526069,0.92436974789916
CID006539565,0.924686192468619
CID044592364,0.925
CID006539486,0.925311203319502
CID044578252,0.925619834710744
CID044532639,0.925925925925926
CID009929101,0.9262295081967208
CID006539472,0.926530612244898
CID024804780,0.9268292682926828
CID017755233,0.927125506072874
CID044525939,0.92741935483871
CID010278843,0.927710843373494
CID044525959,0.928
CID025093464,0.928286852589641
CID006539506,0.9285714285714292
CID044529229,0.928853754940711
CID006539461,0.9291338582677172
CID000447966,0.929411764705882
CID044532445,0.9296875
CID044433573,0.9299610894941628
CID006539602,0.9302325581395352
CID006539513,0.9305019305019308
CID001489204,0.930769230769231
CID053467178,0.931034482758621
CID044529385,0.931297709923664
CID006539473,0.0
CID006539605,0.9315589353612173
CID044305812,0.931818181818182
CID009923028,0.9320754716981128
CID044525960,0.932330827067669
CID044525485,0.9325842696629209
CID011231979,0.932835820895522
CID044525970,0.933085501858736
CID044525937,0.933333333333333
CID044529831,0.933579335793358
CID024803300,0.933823529411765
CID009836051,0.934065934065934
CID006539610,0.934306569343066
CID044529101,0.934545454545455
CID011524582,0.934782608695652
CID010595057,0.935018050541516
CID009814925,0.9352517985611508
CID044532297,0.935483870967742
CID051356854,0.9357142857142858
CID044528946,0.935943060498221
CID006539587,0.936170212765957
CID010267580,0.936395759717314
