molid,b_cs,b_cl,b_cw,b_bs,b_bl,b_bw,RS,CS,AS
9926067,0.867647058824,268,-0.234444570388449,0.701492537313,25,-0.81724171259414,-65.22625,0.885135135,0.805555556
9927432,0.857142857143,250,-0.322747596247399,0.831168831169,58,-0.58605394883514,informer,0.703333333,informer
9944269,0.891891891892,316,-0.212614670039579,0.685714285714,16,-0.815495194941239,-45.35375,0.884090909,0.802816901
9947709,0.8,116,-0.267817039438529,0.853658536585,224,-0.51229508633845,-2.025,0.928370787,0.913043478
9951300,0.69696969697,12,-0.356527776561599,0.843373493975999,219,-0.49655241266857,-7.32625,0.946202532,0.936936937
10113568,0.878048780488,289,-0.23599294676545,0.879120879121,163,-0.532038037132368,-82.3575,0.944565217,0.934579439
10125875,0.842857142857,218,-0.25026809289066,0.483333333333,15,-0.95918633800198,-11.29125,0.960889571,0.956386293
10133732,0.820512820513,154,-0.257476331282619,0.725,84,-0.70288510570265,-12.15125,0.902671756,0.86
10158653,0.763888888889,56,-0.33031113851764,0.9,307,-0.434713027406379,-10.0975,0.947095436,0.938053097
10160775,0.820512820513,156,-0.28451651928736,0.85393258427,164,-0.55051756550221,-72.79875,0.944323144,0.9342722999999999
10171618,0.833333333333,188,-0.2437207897057,0.676056338028,69,-0.75204071698669,-6.99125,0.962609971,0.958702065
10173796,0.845238095238,219,-0.27498011210869,informer,informer,informer,-73.01375,informer,informer
10193464,0.871794871795,280,-0.219210698639409,0.657534246575,63,-0.73469925516439,-47.1925,0.960031348,0.955414013
10193482,0.857142857143,246,-0.246528718054749,0.515151515152,24,-0.94756886579952,-3.9875,0.962719298,0.958823529
10200651,0.844155844156,213,-0.261741019062989,0.746835443038,90,-0.60251584761577,-9.72875,0.947530864,0.938596491
10215776,0.826666666667,170,-0.277291282206429,0.444444444444,9,-1.09160477937481,-50.71875,0.900390625,0.854166667
10236195,0.869565217390999,274,-0.24446880080874,0.9,310,-0.441507753469809,-6.1175,0.955882353,0.949640288
10272700,0.827160493827,174,-0.27407044420359,0.806818181817999,108,-0.66471970865838,-17.035,0.929166667,0.914110429
10286242,0.840579710145,210,-0.247389202085529,0.448275862069,12,-1.01414155364078,-4.39625,0.956335616,0.950530035
10294883,0.4,4,-0.54423040318548,0.819277108434,129,-0.54020760136018,-46.15125,0.938106796,0.927083333
10295475,0.868421052632,270,-0.24803291192018,0.909090909091,295,-0.39600945937338,-4.515,0.954301075,0.94795539
10308522,0.837837837838,198,-0.26909626465756,informer,informer,informer,-55.64125,informer,0.955271565
10321190,0.782051282051,72,-0.32259569525689,0.870967741934999,306,-0.45905543136061,-8.2025,0.832175926,0.632432432
10469531,0.830985915493,184,-0.27344495684972,0.892857142856999,218,-0.48827293805188,-6.32,0.96015625,0.955555556
10475737,0.788732394366,80,-0.30414195217552,0.857142857143,236,-0.521534183077289,-2.915,0.963571429,0.96
11155941,0.578125,25,-0.437783105938639,0.797619047618999,99,-0.58182733460078,-12.57125,0.838675214,0.958208955
11163861,0.727272727273,30,-0.399646040671169,informer,informer,informer,-62.8025,informer,0.9437751
11231939,0.369565217391,5,-0.53444501300561,0.881578947368,330,-0.45498780928639,-34.96625,0.890086207,0.818181818
11233873,0.8875,311,-0.22332434039559,0.848837209301999,76,-0.61982740326255,-14.7425,0.829761905,0.617647059
11244488,0.266666666667,1,-0.5994024289957,0.842105263157999,213,-0.55611032731991,-54.0575,0.888157895,0.813333333
11247002,0.888888888889,317,-0.21121136149977,0.850574712644,80,-0.561112371183139,-9.21875,0.721264368,0.425
11269477,0.865853658537,264,-0.245900669904209,0.855555555556,92,-0.563973559477219,-23.495,0.630208333,0.435294118
11273032,0.854368932039,241,-0.24400695628868,0.867256637168,154,-0.553149321272009,-8.32,0.961596386,0.957317073
11281930,0.826666666667,172,-0.288682182542569,0.79012345679,43,-0.63535409451453,informer,0.944078947,0.933962264
11284937,0.881818181818,299,-0.21579030492329,0.863247863248,176,-0.54323967142198,-7.52125,0.960526316,0.956112853
11290221,0.761904761905,52,-0.31721635441992,0.857142857143,131,-0.539803581242709,-39.40375,0.951704545,0.944
11307581,0.877358490566,285,-0.232372317475769,0.868421052632,124,-0.56532271722114,-3.87875,0.960769231,0.95625
11328632,0.626865671642,31,-0.39030541440593,0.8,102,-0.59559745634952,informer,0.839662447,0.958333333
11392350,0.5,15,-0.42041651480752,0.646153846154,60,-0.722583351334239,-23.57875,0.889130435,0.815789474
11453116,0.894117647059,320,-0.2177714255938,0.869565217390999,125,-0.51559947595447,-17.7525,0.813559322,0.530434783
11473228,0.791044776119,96,-0.305469305482829,0.833333333333,162,-0.50522462330614,-25.92375,0.952425373,0.9453125
11502866,0.807692307692,109,-0.2530341918722,0.816091954023,117,-0.533625999988619,-8.26375,0.95295203,0.946360153
11569498,0.877777777777999,287,-0.24334944629188,0.84375,68,-0.6007205076711,-14.66875,0.959651899,0.95483871
11604319,0.410714285714,6,-0.54208261089405,0.835294117646999,174,-0.51608668004883,-40.5525,0.935279188,0.923076923
11605761,0.820224719101,155,-0.245630188647569,0.838383838384,198,-0.538398731916089,-6.20625,0.9375,0.926315789
11617559,0.787878787879,78,-0.31607001314054,0.90243902439,311,-0.408749447906749,-8.07,0.945512821,0.936073059
11626927,0.827160493827,173,-0.27694579713997,0.858695652174,182,-0.51344138015112,informer,informer,0.945945946
11627264,0.833333333333,185,-0.24500751110143,0.838383838384,201,-0.535688509518919,-5.40875,0.935606061,0.923497268
11640889,0.83908045977,199,-0.2590553845311,0.81914893617,126,-0.550661133767139,-8.30125,0.953125,0.946564885
11656050,0.816091954023,135,-0.249959291597409,0.810526315788999,111,-0.5726689865567,-8.47,0.935929648,0.923913043
11669455,0.829268292683,181,-0.23200806998832,0.835164835165,171,-0.53004756063385,-4.74,0.93625,0.924324324
11680113,0.878787878788,290,-0.229822526178129,0.864864864864999,288,-0.43994926143378,-6.64125,0.775193798,0.473684211
11717091,0.288888888889,2,-0.63290393547666,0.855263157895,190,-0.488212733109949,-16.395,0.937192118,0.925925926
11751266,0.896551724138,327,-0.1998879249701,0.872340425532,136,-0.516441859118159,informer,0.725,0.25
11957417,0.827160493827,175,-0.290917596736269,0.894736842105,226,-0.477088667355369,-73.29875,0.815277778,0.930348259
11959377,0.908045977011,338,-0.159626555786409,0.917525773196,349,-0.309141647976589,-10.37375,0.547619048,0.288888889
11959682,0.850574712644,227,-0.244039488105629,0.888888888889,333,-0.376755591205559,-37.82875,0.416666667,0.2
11959683,0.850574712644,229,-0.244039488105629,0.888888888889,336,-0.376755591205559,-47.7275,0.458333333,0.2
15872388,0.767123287671,58,-0.357964818739475,0.837209302326,186,-0.49108608485644,-5.48125,0.821614583,0.593333333
15872391,0.794871794872,100,-0.303980434347459,0.804597701149,105,-0.531020366370599,-5.95125,0.855113636,0.70212766
15872400,0.756756756756999,48,-0.361741173412048,0.840909090909,207,-0.481061240794849,-5.73625,0.853448276,0.695652174
15872403,0.79012345679,88,-0.3194472702193,0.851063829787,237,-0.46756021647197,-10.1275,0.816939891,0.57037037
15872404,0.776315789474,64,-0.339851705447689,0.816091954023,120,-0.526274054382139,-9.365,0.856741573,0.708333333
15872406,0.743243243243,44,-0.3959037835139,0.855555555556,249,-0.50445002034301,-8.5675,0.95541958,0.949275362
15872407,0.79012345679,90,-0.32230701925941,0.826086956522,147,-0.503132801783999,-7.0825,0.94980315,0.941666667
15872408,0.776315789474,66,-0.33303369943128,0.855555555556,252,-0.46426522671704,-8.50375,0.877403846,0.777777778
15872409,0.7875,76,-0.32410690497355,0.873684210526,143,-0.53983142136164,-4.29125,0.955574913,0.627777778
16048194,0.820895522388,159,-0.293990519542349,0.844155844156,71,-0.54683987842827,-7.61,0.941513761,0.931034483
16048303,informer,informer,informer,0.88,169,-0.50888313308818,-11.59125,0.942307692,0.932038835
16048415,0.819672131148,152,-0.306144142191979,0.891891891892,217,-0.467812745028039,-33.35125,0.941780822,0.931372549
