molid,RS
6539593,-56.2843
11604319,-57.2386
44418532,-58.5043
44418539,-59.2186
5329831,-60.5429
11163861,-61.3271
44418572,-61.4286
10173796,-61.6157
57403317,-61.7829
44536036,-62.5929
23646938,-64.4229
6539409,-65.4014
44418540,-66.6557
5329868,-66.9657
9604958,-67.5043
6539574,-68.03
9822610,-73.8629
10294883,-74.8243
57398144,-75.45
56604044,-76.8857
57400542,-78.06
9604926,-79.45
9604915,-79.5
9604943,-79.7143
9604922,-80.1314
56604006,-80.8743
57396350,-80.9329
6518526,-81.6857
5329875,-81.7571
21701565,-81.8
57401572,-81.8271
24949545,-81.8557
5329860,-82.2529
56604020,-82.72
5329861,-82.8443
57395310,-85.9786
9604948,-86.7757
9604912,-89.0457
57392873,-89.2757
57396353,-91.4486
9604911,-92.18
24896610,-93.6029
44532204,-96.0943
44397010,informer
44397250,informer
44397453,informer
5329829,informer
57391096,informer
9927432,informer
11281930,informer
6539081,informer
6539056,informer
11626927,informer
11751266,informer
25218584,informer
25023715,informer
25211574,informer
25218593,informer
11328632,informer
