molid,AS
CID044525963,0.950434782608696
CID015407403,0.9506493506493509
CID006539519,0.9508620689655172
CID006539416,0.951072961373391
CID051354901,0.9512820512820509
CID006539566,0.951489361702128
CID044525932,0.9516949152542371
CID000099545,0.9518987341772149
CID006539507,0.952100840336134
CID044526068,0.952301255230126
CID044525931,0.9525
CID044532683,0.952697095435685
CID044525948,0.9528925619834709
CID056673950,0.953086419753086
CID044525923,0.95327868852459
CID044525961,0.953469387755102
CID044525934,0.953658536585366
CID053245731,0.953846153846154
CID057401865,0.9540322580645161
CID009861063,0.95421686746988
CID024949702,0.9544
CID044328970,0.954581673306773
CID045270417,0.954761904761905
CID044525945,0.954940711462451
CID070685440,0.955118110236221
CID045481463,0.9552941176470591
CID011595752,0.95546875
CID006539550,0.9556420233463041
CID044532432,0.9558139534883722
CID006539376,0.9559845559845559
CID024803301,0.9561538461538459
CID044525966,0.9563218390804599
CID057398392,0.9564885496183209
CID056680318,0.956653992395437
CID044532102,0.956818181818182
CID006539509,0.956981132075472
CID044525929,0.957142857142857
CID018536646,0.9573033707865171
CID017755746,0.957462686567164
CID006539394,0.9576208178438659
CID011682470,0.957777777777778
CID018536633,0.9579335793357929
CID044526075,0.9580882352941179
CID011682680,0.958241758241758
CID057403576,0.9583941605839421
CID044527603,0.958545454545455
CID044525933,0.958695652173913
CID045271247,0.9588447653429599
CID009925372,0.958992805755396
CID006539523,0.9591397849462371
CID011594774,0.9592857142857142
CID010286382,0.9594306049822059
CID009914412,0.959574468085106
CID006539480,0.959717314487633
CID044525927,0.959859154929577
CID006539516,0.96
CID044536075,0.96013986013986
CID044328896,0.960278745644599
CID006539578,0.960416666666667
CID044526069,0.9605536332179929
CID006539565,0.960689655172414
CID044592364,0.9608247422680409
CID006539486,0.9609589041095892
CID044578252,0.961092150170648
CID044532639,0.961224489795918
CID009929101,0.96135593220339
CID017755233,0.9614864864864859
CID044525939,0.961616161616162
CID010278843,0.961744966442953
CID044525959,0.9618729096989972
CID025093464,0.9620000000000001
CID006539461,0.9621262458471759
CID000447966,0.9622516556291391
CID044532445,0.962376237623762
CID006539602,0.9625
CID001489204,0.9626229508196721
CID053467178,0.9627450980392159
CID044529385,0.9628664495114009
CID006539605,0.9629870129870131
