molid,pknb,bglf4
44418546,0.0,0.0
23646936,0.006,0.0
579429,0.0,0.0
44433171,0.006,0.0
10295475,0.0,0.0
6539593,0.0,0.0
6539046,0.0,0.005
6539598,0.0,0.0
6539611,0.0,0.0
6539567,0.0,0.0
6539108,0.03,0.458
6539089,0.0,0.211
15872406,0.02,0.0
15872409,0.0,0.003
6539607,0.013,0.003
10236195,0.0,0.0
11751266,0.0,0.021
6539412,0.0,0.0
10321190,0.0,0.0
6539430,0.012,0.072
11269477,0.0,0.051
9604970,0.066,0.051
5329854,0.0,0.093
10286242,0.0,0.023
25218621,0.0,0.007
25210971,0.0,0.0
44581222,0.019,0.007
44581765,0.0,0.0
25218614,0.0,0.697
25210972,0.0,0.0
25263274,0.0,0.0
25218573,0.0,0.0
10173796,0.42,0.073
25263114,0.01,0.0
25263110,0.006,0.0
25263099,0.0,0.09
44571414,0.0,0.0
44571449,0.047,0.048
25218601,0.0,0.0
24856364,0.0,0.0
25218600,0.0,0.626
44578672,0.007,0.054
44593640,0.02,0.0
44578253,0.0,0.0
44578254,0.012,0.0
44578563,0.0,0.033
9822610,0.0,0.0
25263087,0.072,0.071
25263103,0.005,0.034
25263088,0.0,0.0
25263116,0.065,0.076
42618163,0.0,0.005
42618164,0.015,0.051
11569498,0.012,0.012
9857146,0.05,0.022
44589696,0.005,0.053
25263118,0.0,0.044
10308522,0.004,0.046
10193464,0.0,0.025
10469531,0.0,0.0
44587530,0.0,0.026
25218584,0.019,0.0
25023715,0.0,0.017
44571453,0.0,0.0
11284937,0.0,0.0
25211574,0.0,0.288
11307581,0.0,0.0
10125875,0.0,0.023
25218593,0.0,0.0
25263092,0.0,0.066
44581245,0.0,0.0
9826308,0.03,0.0
44571435,0.0,0.0
25263078,0.144,0.0
44578425,0.052,0.0
11273032,0.023,0.0
25218571,0.044,0.0
44578255,0.0,0.0
44578401,0.0,0.021
5329489,0.0,0.0
25263083,0.02,0.0
25263115,0.039,0.019
11155941,,
11328632,0.001,0.0
25263117,0.012,0.068
25263119,0.0,0.0
10171618,0.012,0.0
10193482,0.004,0.069
44532523,0.013,0.0
22727427,0.021,0.039
44532204,0.0,0.014
44536036,0.008,0.0
56604044,0.063,0.042
9604943,0.024,0.0
56604020,0.019,0.153
9604948,0.037,0.0
9604926,0.0,0.0
9604922,0.03,0.0
22464113,0.0,0.0
10475737,0.007,0.0
