molid,b_cs,b_cl,b_cw,b_bs,b_bl,b_bw,RS,CS,AS
CID006539569,,,-0.008551612903235,0.8681318681319999,262,-0.07698254832762802,-24.5434,0.974926253687316,0.967796610169491
CID006539571,,,-0.006969550506550001,0.837209302326,158,-0.09310447079368,-22.025,0.927350427350427,0.932941176470588
CID006539572,,,-0.006069978673276,0.846153846154,185,-0.09004963209158098,-11.5086,0.84,0.927848101265823
CID006539578,,,-0.007177201857205001,0.855555555556,216,-0.07954113248957598,-19.5741,0.967307692307692,0.960416666666667
CID006539579,,,-0.008043052837579001,0.8666666666670001,258,-0.07391093727631795,-19.8175,0.974626865671642,0.9674285714285707
CID006539582,,,-0.008950519689649,0.8383838383840001,163,-0.09208163352979595,informer,0.962222222222222,0.9035087719298248
CID006539587,,,-0.00821953405016,0.879120879121,312,-0.06726234401481798,-24.1185,0.9718543046357622,0.964923076923077
CID006539588,,,-0.007452142857136001,0.847826086957,197,-0.08390174943526799,-19.642,0.976902173913043,0.914754098360656
CID006539591,,,-0.007364137754936001,0.849462365591,204,-0.083025697226004,-20.4991,0.955729166666667,0.84
CID006539602,,,-0.008340973024527997,0.8571428571430001,223,-0.08329719335640297,-14.5903,0.9694244604316552,0.9625
CID006539605,,,-0.008893079893075,0.8602150537630001,232,-0.08430972063857595,-16.8085,0.969964664310954,0.9629870129870132
CID006539606,,,-0.009324983622658,0.8666666666670001,256,-0.07550994878222694,-17.483,0.91747572815534,0.926923076923077
CID006539609,,,-0.007832965521183998,0.8571428571430001,224,-0.07953588654473097,-20.9812,0.975714285714286,0.913623188405797
CID006539610,,,-0.007550483091797001,0.8666666666670001,257,-0.07641005875259797,-21.0135,0.97108843537415,0.964150943396226
CID006539613,,,-0.006331975362534005,0.8387096774189999,165,-0.088058118171908,-19.8919,0.93609022556391,0.937704918032787
CID006539615,,,-0.007633737400761,0.846846846847,191,-0.088605133163277,-11.0299,0.9740061162079507,0.96695652173913
CID006918454,,,-0.006010555946511,0.91,381,-0.05860412818154699,-1.94151,0.897590361445783,informer
CID009814925,,,-0.007458856579167999,0.886363636364,333,-0.06917143227614801,-16.0702,0.971476510067114,0.964596273291925
CID009826528,informer,informer,informer,0.909090909091,380,-0.06207900530118902,-2.91443,0.8950617283950619,0.9197183098591548
CID009836050,,,-0.008155978727052,0.862068965517,238,-0.07595276547948203,-21.1362,0.911458333333333,0.925
CID009836051,,,-0.008264292914426001,0.873563218391,284,-0.07260498309869598,-13.7652,0.97098976109215,0.96403785488959
CID009836405,informer,informer,informer,0.83950617284,167,-0.089494986772264,-17.9562,0.954545454545455,0.950218340611354
CID009861063,,,-0.0077540026591219995,0.8625,243,-0.07757311145708798,-15.4525,0.95933014354067,0.95421686746988
CID009865518,,,-0.008444755576646,0.7717391304350001,80,-0.14039431763894095,-9.70127,0.929752066115702,0.933720930232558
CID009879605,,,-0.007506216577534,0.8953488372089999,346,-0.061945144896928026,-16.8799,0.952777777777778,0.949107142857143
CID009880709,,,-0.007772448565929999,0.862068965517,240,-0.07721123944981703,-18.8831,0.953804347826087,0.949779735682819
CID009888013,,,-0.006181914893619002,0.7444444444439999,43,-0.14600050102522702,-27.1755,0.975783475783476,0.8512820512820509
CID009901062,,,-0.007984090070145002,0.837209302326,159,-0.09290879490663101,-15.5946,0.9481707317073172,0.9457142857142858
