molid,AS
25218614,0.25
10308522,0.33333333333333304
6539440,0.38888888888888895
6539409,0.4166666666666671
11163861,0.45
6539361,0.48611111111111105
17892742,0.511904761904762
6539108,0.53125
11453116,0.555555555555556
6539369,0.575
6539430,0.590909090909091
25218593,0.604166666666667
25263123,0.621794871794872
56667993,0.6369047619047621
56657596,0.65
6539414,0.661458333333333
57398145,0.6715686274509799
57396350,0.680555555555556
57398148,0.68859649122807
56604049,0.695833333333333
57399803,0.7023809523809521
57399805,0.708333333333333
11957417,0.713768115942029
24896610,0.71875
6539107,0.7233333333333329
6539086,0.727564102564103
6539087,0.7314814814814808
18536613,0.7351190476190479
6603857,0.738505747126437
6539089,0.741666666666667
11751266,0.744623655913978
11269477,0.747395833333333
25218621,0.75
25210972,0.752450980392157
9822610,0.7547619047619051
6518526,0.7592592592592591
53239978,0.7635135135135129
25263120,0.767543859649123
25263124,0.771367521367521
16051023,0.775
6539411,0.778455284552846
10133732,0.781746031746032
22464120,0.7848837209302328
6539424,0.787878787878788
53239988,0.7907407407407409
57390087,0.793478260869565
21701565,0.7960992907801421
57401572,0.7986111111111109
57403317,0.801020408163265
57401574,0.803333333333333
57392873,0.805555555555556
57398151,0.8076923076923079
57394601,0.809748427672956
57398152,0.8117283950617281
56603975,0.813636363636364
57399800,0.81547619047619
57391094,0.8172514619883041
57403319,0.818965517241379
57398153,0.8206214689265541
57391095,0.8222222222222221
56604000,0.8237704918032791
10272700,0.8252688172043009
57391097,0.826719576719577
56603973,0.828125
57398154,0.8294871794871791
5482344,0.8308080808080809
9917474,0.8320895522388059
22609796,0.833333333333333
11281930,0.834541062801932
6539364,0.8357142857142859
11290221,0.836854460093897
6539422,0.837962962962963
11626927,0.8390410958904109
10321190,0.8400900900900901
25210971,0.8411111111111109
25263274,0.842105263157895
44571414,0.8430735930735931
44571449,0.8440170940170941
25263118,0.84493670886076
11284937,0.845833333333333
11307581,0.8467078189300409
44571435,0.847560975609756
11273032,0.8483935742971891
11328632,0.8492063492063491
25263119,0.85
44532523,0.8507751937984499
22727427,0.8515325670498081
44536036,0.8522727272727271
56604044,0.852996254681648
56604020,0.8537037037037041
6539592,0.855311355311355
6539600,0.856884057971015
6539599,0.8584229390681
6539597,0.8599290780141841
6539620,0.8614035087719301
6539617,0.8628472222222221
11959377,0.86426116838488
11959682,0.8656462585034008
11959683,0.8670033670033671
15872400,0.868333333333333
15872391,0.86963696369637
15872404,0.870915032679739
9885504,0.872168284789644
16219401,0.8733974358974358
6539453,0.874603174603175
6539521,0.875786163522013
448008,0.8769470404984421
6539482,0.878086419753086
6539478,0.879204892966361
6539502,0.88030303030303
6539466,0.881381381381381
44386338,0.8824404761904759
5329853,0.8834808259587019
