molid,rop18
CID044532480,0.09
CID044532526,0.05
CID044532531,0.1
CID044532639,0.06
CID044532683,0.11
CID044532690,0.09
CID044532712,0.04
CID044532720,0.43
CID044532737,0.04
CID044532978,0.12
CID044532997,0.22
CID044535870,0.21
CID044536075,0.03
CID044571415,0.09
CID044578252,0.06
CID044578566,0.07
CID044578630,0.07
CID044578709,0.04
CID044591552,0.02
CID044591845,0.06
CID044592364,0.02
CID044592502,0.03
CID045269578,0.09
CID045270417,0.02
CID045271243,0.06
CID045271244,0.04
CID045271247,0.02
CID045272980,0.08
CID045272982,0.09
CID045480848,0.68
CID045481463,1.0
CID046214650,0.06
CID046215644,0.04
CID046215814,0.04
CID046215816,0.05
CID046886665,0.03
CID046927597,0.08
CID046927672,0.04
CID049798353,0.02
CID049862644,0.18
CID049862783,0.05
CID051354036,0.02
CID051354327,0.01
CID051354328,0.03
CID051354901,0.04
CID051355190,0.1
CID051356289,0.08
CID051356852,0.11
CID051356853,0.07
CID051356854,0.17
CID051356855,0.03
CID051356856,0.04
CID051357138,0.04
CID051357696,0.05
CID051357954,0.01
CID053245731,0.05
CID053317178,0.05
CID053322416,0.03
CID053466728,0.07
CID053466951,0.03
CID053467178,0.15
CID053467392,0.11
CID053467617,0.05
CID053469448,0.06
CID053469449,0.06
CID053469453,0.01
CID053469634,0.04
CID053469824,0.02
CID056670156,0.08
CID056673516,0.06
CID056673950,0.14
CID056680318,0.01
CID056683489,0.03
CID057345685,0.75
CID057391365,0.01
CID057394915,0.07
CID057396625,0.22
CID057396626,0.06
CID057396627,0.07
CID057398391,0.04
CID057398392,0.05
CID057400063,0.01
CID057401865,0.03
CID057401867,0.05
CID057403576,0.07
CID057403579,0.03
CID060150509,0.06
CID066561010,0.13
CID066561013,0.03
CID066561090,0.09
CID070683337,0.01
CID070683338,0.03
CID070685440,0.01
CID070685442,0.03
CID070691776,0.12
CID071451677,0.04
