molid,pknb,bglf4,rop18
5034,0.0,0.0,0.13
448008,0.0,0.0,0.01
449054,0.0,0.0,0.11
453216,0.004,0.0,0.01
579429,0.0,0.0,0.0
599038,0.046,0.0,0.01
766948,0.015,0.0,0.02
766949,0.028999999999999998,0.024,0.0
5329404,0.0,0.0,0.03
5329489,0.0,0.0,0.04
5329801,0.0,0.026000000000000002,0.01
5329802,0.0,0.01,0.02
5329829,0.0,0.0,0.02
5329831,0.0,0.0,0.03
5329849,0.0,0.0,0.0
5329850,0.0,0.0,0.3
5329853,0.009000000000000001,0.0,0.0
5329854,0.0,0.09300000000000001,0.5
5329855,0.012,0.013999999999999999,0.11
5329857,0.027000000000000003,0.005,0.0
5329860,0.0,0.0,0.0
5329861,0.0,0.0,0.06
5329868,0.0,0.0,0.02
5329875,0.038,0.0,0.01
5482344,0.0,0.731,0.01
5793317,0.0,0.0,0.36
6518526,0.047,0.05,0.03
6539046,0.0,0.005,0.24
6539047,0.0,0.0,0.15
6539049,0.001,0.028999999999999998,0.05
6539056,0.0,0.0,1.0
6539075,0.0,0.05,0.38
6539081,0.066,0.325,1.01
6539085,0.0,0.053,0.29
6539086,0.0,0.092,0.34
6539087,0.003,0.182,0.68
6539089,0.0,0.21100000000000002,0.98
6539093,0.02,0.0,0.0
6539097,0.034,0.0,0.0
6539099,0.018000000000000002,0.0,0.01
6539107,0.0,0.455,0.85
6539108,0.03,0.45799999999999996,0.1
6539361,0.0,0.026000000000000002,0.02
6539364,0.0,0.006999999999999999,0.02
6539369,0.013999999999999999,0.022000000000000002,0.05
6539382,0.0,0.0,0.01
6539385,0.084,0.053,0.02
6539390,0.026000000000000002,0.0,0.02
6539397,0.017,0.0,0.02
6539409,0.0,0.006999999999999999,0.01
6539411,0.0,0.0,0.13
6539412,0.0,0.0,0.31
6539413,0.0,0.0,0.04
6539414,0.0,0.0,0.17
6539417,0.0,0.0,0.01
6539418,0.0,0.0,0.0
6539422,0.011000000000000001,0.0,0.49
6539424,0.0,0.0,0.39
6539430,0.012,0.07200000000000001,0.35
6539439,0.0,0.0,0.02
6539440,0.012,0.039,0.34
6539451,0.0,0.0,0.06
6539453,0.013999999999999999,0.0,0.04
6539466,0.0,0.0,0.0
6539478,0.0,0.0,0.01
6539482,0.005,0.0,0.04
6539487,0.06,0.021,0.01
6539502,0.042,0.0,0.02
6539521,0.054000000000000006,0.051,0.02
6539522,0.019,0.040999999999999995,0.01
6539567,0.0,0.0,0.01
6539574,0.105,0.087,0.0
6539584,0.04,0.015,0.03
6539592,0.0,0.0,0.06
6539593,0.0,0.0,0.03
6539597,0.0,0.0,0.0
6539598,0.0,0.0,0.01
6539599,0.028999999999999998,0.0,0.05
6539600,0.0,0.0,0.03
6539603,0.045,0.039,0.01
6539607,0.013000000000000001,0.003,0.01
6539611,0.0,0.0,0.03
6539617,0.048,0.065,0.27
6539620,0.043,0.0,0.05
6539751,0.01,0.008,0.01
6603857,0.0,0.0,0.07
9604911,0.0,0.0,0.05
9604912,0.0,0.11199999999999999,0.02
9604915,0.0,0.002,0.0
9604922,0.03,0.0,0.01
9604926,0.0,0.0,0.01
9604940,0.045,0.0,0.03
9604943,0.024,0.0,0.0
9604948,0.037000000000000005,0.0,0.08
9604958,0.0,0.0,0.03
9604970,0.066,0.051,0.05
9800117,0.0,0.0,0.07
9822610,0.0,0.0,0.01
9826308,0.03,0.0,0.03
9827373,0.0,0.002,0.22
9857146,0.05,0.022000000000000002,0.29
9858084,0.0,0.04,0.18
9858662,0.0,0.077,0.45
9873849,0.045,0.048,0.11
9885504,0.0,0.0,0.03
9890357,0.005,0.0,0.01
9901444,0.0,0.069,0.01
9901964,0.0,0.0,0.61
9910722,0.0,0.0,0.07
9917474,0.034,0.0,0.03
9922527,0.0,0.0,0.05
9926067,0.0,0.08900000000000001,0.22
9927432,0.004,0.055,0.12
9944269,0.0,0.045,0.23
9947709,0.0,0.0,0.03
9951300,0.0,0.0,0.01
10113568,0.008,0.0,0.04
10125875,0.0,0.023,0.02
10133732,0.0,0.0,0.02
10158653,0.0,0.036000000000000004,0.0
10160775,0.02,0.0,0.01
10171618,0.012,0.0,0.04
10173796,0.42,0.073,0.19
10193464,0.0,0.025,0.76
10193482,0.004,0.069,0.02
10200651,0.039,0.004,0.01
10215776,0.057,0.033,0.03
10236195,0.0,0.0,0.0
10272700,0.0,0.0,0.18
10286242,0.0,0.023,0.02
10294883,0.026000000000000002,0.002,0.46
10295475,0.0,0.0,0.03
10308522,0.004,0.046,1.22
10321190,0.0,0.0,0.06
10469531,0.0,0.0,0.03
10475737,0.006999999999999999,0.0,0.02
11155941,,,0.01
11163861,0.11,0.153,0.05
11231939,0.0,0.0,0.01
11233873,0.06,0.009000000000000001,0.02
11244488,0.022000000000000002,0.051,0.06
11247002,0.0,0.0,0.02
11269477,0.0,0.051,0.08
11273032,0.023,0.0,0.04
11281930,0.0,0.385,0.09
11284937,0.0,0.0,0.04
11290221,0.0,0.16399999999999998,0.05
11307581,0.0,0.0,0.04
11328632,0.001,0.0,0.0
11392350,0.0,0.006,0.02
11453116,0.031,0.011000000000000001,0.02
11473228,0.01,0.099,0.02
11502866,0.035,0.0,0.02
11569498,0.012,0.012,0.0
11604319,0.036000000000000004,0.0,0.3
11605761,0.0,0.0,0.01
11617559,0.0,0.0,0.0
11626927,0.001,0.077,0.0
11627264,0.0,0.0463,1.39
11640889,0.028999999999999998,0.0,0.26
11656050,0.0,0.0,0.04
11669455,0.039,0.0,0.14
11680113,0.031,0.021,0.0
11717091,0.006999999999999999,0.025,0.58
11751266,0.0,0.021,0.03
11957417,0.0,0.0,0.01
11959377,0.013999999999999999,0.0573,0.03
11959682,0.0,0.025,0.01
11959683,0.34700000000000003,0.021,0.02
15872388,0.0,0.0,0.02
15872391,0.001,0.0,0.01
15872400,0.0,0.0,0.01
15872403,0.0,0.0,0.01
15872404,0.039,0.05,0.05
15872406,0.02,0.0,0.01
15872407,0.027000000000000003,0.0,0.02
15872408,0.0,0.0,0.0
15872409,0.0,0.003,0.0
16048194,0.0,0.0,0.01
16048303,0.027999999999999997,0.0,0.03
16048415,0.0,0.0,0.02
16051023,0.051,0.024,0.01
16099859,0.0,0.0,0.04
16219401,0.071,0.095,0.03
16236469,,,0.02
16664858,0.0,0.0,0.02
17892742,0.057999999999999996,0.0,0.29
18536613,0.0,0.0,0.01
18536627,0.0,0.0,0.03
21701565,0.005,0.19699999999999998,0.01
21951965,0.0,0.0,0.04
22464113,0.0,0.0,0.15
22464120,0.0,0.008,0.31
22609796,0.0,0.0,0.01
22727427,0.021,0.039,0.11
23646936,0.006,0.0,0.04
23646938,0.009000000000000001,0.073,0.0
24180608,0.0,0.06,0.03
24856364,0.0,0.0,0.0
24896610,0.0,0.073,0.03
24949545,0.0,0.001,0.02
25023715,0.0,0.017,0.0
25093474,0.0,0.0,0.02
25190921,0.0,0.057,0.02
25190924,0.006,0.0,0.02
25190926,0.0,0.0,0.02
25210971,0.0,0.0,0.0
25210972,0.0,0.0,0.0
25211574,0.0,0.28800000000000003,0.03
25218571,0.044000000000000004,0.0,0.05
25218573,0.0,0.0,0.04
25218584,0.019,0.0,0.0
25218593,0.0,0.0,0.01
25218600,0.0,0.626,0.43
25218601,0.0,0.0,0.18
25218614,0.0,0.6970000000000001,0.07
25218621,0.0,0.006999999999999999,0.03
25263078,0.14400000000000002,0.0,0.05
25263083,0.02,0.0,0.01
25263087,0.07200000000000001,0.071,0.09
25263088,0.0,0.0,0.01
25263092,0.0,0.066,0.02
25263099,0.0,0.09,0.24
25263103,0.005,0.034,0.03
25263110,0.006,0.0,0.02
25263114,0.01,0.0,0.02
25263115,0.039,0.019,0.04
25263116,0.065,0.076,0.03
25263117,0.012,0.068,0.01
25263118,0.0,0.044000000000000004,0.07
25263119,0.0,0.0,0.01
25263120,0.0,0.0,0.01
25263123,0.028999999999999998,0.013000000000000001,0.09
25263124,0.004,0.031,0.08
25263274,0.0,0.0,0.02
42618163,0.0,0.005,0.05
42618164,0.015,0.051,0.01
44329036,0.0,0.0,0.04
44386338,0.0,0.124,0.08
44396990,0.0,0.0,0.05
44397010,0.0,0.0,0.05
44397032,0.0,0.0,0.01
44397147,0.0,0.048,0.02
44397201,0.006,0.057999999999999996,0.0
44397250,0.035,0.0,0.06
44397453,0.062,0.054000000000000006,0.02
44397710,0.0,0.0,0.01
44410704,0.0,0.0,0.04
44418532,0.0,0.022000000000000002,0.02
44418533,0.0,0.0,0.01
44418539,0.006999999999999999,0.0,0.01
44418540,0.0,0.03,0.01
44418545,0.013999999999999999,0.011000000000000001,0.02
44418546,0.0,0.0,0.02
44418547,0.0,0.0762,0.0
44418555,0.0,0.022000000000000002,0.01
44418556,0.0,0.0,0.02
44418572,0.012,0.009000000000000001,0.11
44431824,0.0,0.0,0.01
44433171,0.006,0.0,0.09
44433173,0.0,0.0,0.03
44532204,0.0,0.013999999999999999,0.18
44532523,0.013000000000000001,0.0,0.03
44536036,0.008,0.0,0.04
44571414,0.0,0.0,0.01
44571435,0.0,0.0,0.04
44571449,0.047,0.048,0.07
44571453,0.0,0.0,0.02
44578253,0.0,0.0,0.01
44578254,0.012,0.0,0.01
44578255,0.0,0.0,0.02
44578401,0.0,0.021,0.01
44578425,0.052000000000000005,0.0,0.01
44578563,0.0,0.033,0.01
44578672,0.006999999999999999,0.054000000000000006,0.02
44581222,0.019,0.006999999999999999,0.26
44581245,0.0,0.0,0.0
44581765,0.0,0.0,0.0
44587530,0.0,0.026000000000000002,0.41
44589696,0.005,0.053,0.1
44593640,0.02,0.0,0.05
53239955,0.0,0.057,0.21
53239967,0.0,0.455,0.85
53239978,0.048,0.27899999999999997,0.21
53239984,0.0,0.0,0.04
53239985,0.0,0.0,0.01
53239988,0.0,0.0,0.02
56603966,0.537,0.05,0.02
56603973,0.0,0.0,0.02
56603975,0.066,0.0,0.03
56603980,0.04,0.015,0.03
56603987,0.0,0.0,0.02
56603995,0.479,0.0,0.06
56603997,0.046,0.019,0.01
56604000,0.0,0.0,0.11
56604005,0.0,0.0,0.03
56604006,0.0,0.0,0.01
56604013,0.415,0.0,0.03
56604020,0.019,0.153,0.06
56604024,0.0,0.0,0.09
56604030,0.0,0.006999999999999999,0.01
56604034,0.26899999999999996,0.0,0.02
56604044,0.063,0.042,0.02
56604049,0.0,0.0,0.04
56657596,0.0,0.0,0.15
56667992,0.0,0.0,0.23
56667993,0.0,0.0,0.02
56681565,0.0,0.179,0.01
57390087,0.0,0.0,0.2
57391091,0.015,0.0,0.03
57391092,0.006999999999999999,0.0,0.05
57391093,0.0,0.009000000000000001,0.03
57391094,0.0,0.0,0.54
57391095,0.0,0.0,0.04
57391096,0.013000000000000001,0.0,0.0
57391097,0.0,0.0,0.04
57391875,0.273,0.0,0.02
57392873,0.0,0.001,0.02
57393604,0.0,0.135,0.03
57394599,0.033,0.0,0.01
57394600,0.0,0.0,0.03
57394601,0.0,0.0,0.02
57394602,0.0,0.005,0.06
57395310,0.0,0.0,0.0
57395317,0.0,0.0,0.0
57396350,0.025,0.0,0.03
57396351,0.0,0.0,0.02
57396352,0.0,0.026000000000000002,0.0
57396353,0.042,0.109,0.0
57398144,0.043,0.0,0.13
57398145,0.015,0.003,0.06
57398146,0.059000000000000004,0.045,0.03
57398147,0.0,0.006999999999999999,0.0
57398148,0.02,0.01,0.01
57398149,0.040999999999999995,0.038,0.01
57398150,0.0,0.0,0.0
57398151,0.0,0.004,0.0
57398152,0.0,0.0,0.0
57398153,0.018000000000000002,0.0,0.02
57398154,0.023,0.0,0.02
57398861,0.016,0.033,0.02
57398866,0.083,0.039,0.05
57398867,0.0,0.0,0.07
57399798,0.01,0.017,0.04
57399799,0.009000000000000001,0.013999999999999999,0.0
57399800,0.0,0.0,0.02
57399801,0.0,0.0,0.03
57399802,0.0,0.021,0.05
57399803,0.040999999999999995,0.0,0.05
57399804,0.0,0.0,0.03
57399805,0.0,0.015,0.07
57400541,0.0,0.0,0.03
57400542,0.0,0.0,0.14
57400544,0.0,0.0,0.01
57400545,0.026000000000000002,0.08800000000000001,0.01
57401572,0.032,0.0,0.02
57401573,0.0,0.0,0.0
57401574,0.0,0.0,0.02
57401575,0.0,0.11800000000000001,0.05
57403316,0.0,0.0,0.02
57403317,0.031,0.0,0.02
57403318,0.052000000000000005,0.033,0.01
57403319,0.0,0.0,0.01
57403320,0.034,0.033,0.27
70682205,0.0,0.0,0.01
70696859,0.046,0.023,0.06
