molid,pknb,bglf4,rop18
CID070685440,0.029,0.0,0.01
CID045272982,0.089,0.1,0.09
CID045481463,,,1.0
CID044525955,0.0,0.0,0.04
CID011595752,0.0,0.01,0.11
CID006263849,0.0,0.0,0.07
CID006539550,0.021,0.064,0.05
CID044532432,0.0,0.0,0.05
CID070683338,0.0,0.0,0.03
CID006539376,0.021,0.049,0.03
CID006539427,0.0,0.007,0.03
CID044525972,0.0,0.0,0.06
CID017917696,0.016,0.033,0.06
CID057403579,0.0,0.014,0.03
CID024803301,0.0,0.111,0.09
CID010239038,0.064,0.0,0.11
CID006539582,0.0,0.0,0.04
CID044525966,0.0,0.0,0.07
CID044526076,0.006,0.0,0.04
CID057398392,0.025,0.0,0.05
CID000227502,0.0,0.0,0.01
CID056680318,0.007,0.0,0.01
CID022185475,0.0,0.139,0.05
CID011057468,0.0,0.007,0.05
CID006538884,0.0,0.0,0.03
CID044525968,0.0,0.0,0.03
CID006539525,0.0,0.0,0.14
CID044269265,0.009,0.022,0.06
CID046215644,0.0,0.054,0.04
CID044532102,0.0,0.0,0.06
CID006539509,0.003,0.027,0.15
CID044525929,0.0,0.0,0.05
CID044532450,0.0,0.007,0.04
CID018536646,0.0,0.0,0.13
CID017755746,0.0,0.0,0.01
CID006539394,0.0,0.0,0.01
CID011682470,0.0,0.005,0.21
CID018536633,0.052,0.057,0.02
CID044526075,0.0,0.0,0.01
CID044479934,0.0,0.0,0.08
CID011682680,0.0,0.0,0.02
CID057403576,0.0,0.0,0.07
CID044527603,0.0,0.0,0.2
CID044525933,0.0,0.0,0.26
CID045271247,0.014,0.0,0.02
CID044525925,0.0,0.0,0.06
CID009925372,0.049,0.0,0.31
CID006539523,0.0,0.0,0.03
CID011594774,0.032,0.013,0.12
CID010286382,0.007,0.033,0.08
CID009925594,0.035,0.0,0.08
CID021027446,0.0,0.0,0.06
CID009914412,0.0,0.0,0.01
CID006539480,0.0,0.016,0.01
CID044525927,0.0,0.0,0.04
CID053469453,0.0,0.0,0.01
CID006539516,0.053,0.007,0.02
CID044536075,0.0,0.0,0.03
CID044328896,0.025,0.009,0.07
CID006539578,0.003,0.057,0.01
CID025263084,0.0,0.011,0.08
CID044526069,0.0,0.0,0.06
CID006539565,0.0,0.0,0.07
CID044592364,0.0,0.039,0.02
CID006539486,0.0,0.0,0.01
CID044578252,0.0,0.0,0.06
CID044532639,0.0,0.0,0.06
CID009929101,0.0,0.0,0.17
CID006539472,0.0,0.034,0.13
CID024804780,0.0,0.056,0.01
CID017755233,0.0,0.0,0.04
CID044525939,0.0,0.0,0.07
CID010278843,0.0,0.0,0.01
CID044525959,0.0,0.0,0.01
CID025093464,0.0,0.0,0.12
CID006539506,0.012,0.044,0.02
CID044529229,0.058,0.079,0.15
CID006539461,0.0,0.0,0.11
CID000447966,0.0,0.0,0.35
CID044532445,0.0,0.0,0.02
CID044433573,0.0,0.0,0.03
CID006539602,0.0,0.007,0.04
CID006539513,0.0,0.044,0.01
CID001489204,0.0,0.01,0.03
CID053467178,0.019,0.0,0.15
CID044529385,0.0,0.031,0.01
CID006539473,0.0,0.0,0.02
CID006539605,0.0,0.0,0.05
CID044305812,0.0,0.0,0.04
CID009923028,0.0,0.0,0.06
CID044525960,0.0,0.0,0.06
CID044525485,0.004,0.0,0.04
CID011231979,0.0,0.039,0.06
CID044525970,0.043,0.011,0.04
CID044525937,0.0,0.0,0.06
CID044529831,0.065,0.068,0.12
CID024803300,0.0,0.006,0.06
CID009836051,0.0,0.0,0.15
CID006539610,0.0,0.0,0.06
CID044529101,0.0,0.0,0.4
CID011524582,0.0,0.028,0.04
CID010595057,0.0,0.019,0.02
CID009814925,0.0,0.002,0.5
CID044532297,0.0,0.0,0.03
CID051356854,0.0,0.12,0.17
CID044528946,0.0,0.0,0.13
CID006539587,0.0,0.0,0.02
CID010267580,0.0,0.0717,0.04
CID044525928,0.0,0.0,0.05
CID044525946,0.011,0.0,0.02
CID057401867,0.0,0.014,0.05
CID010186182,0.0,0.0,0.06
CID044525973,0.0,0.0,0.19
CID044527001,0.0,0.0,0.06
CID006539496,0.048,0.029,0.06
CID011373846,0.0,0.0,0.03
CID044306199,0.026,0.037,0.04
CID044529112,0.046,0.0,0.14
CID057396627,0.0,0.0,0.07
CID046214650,0.0,0.0,0.06
CID006539504,0.0,0.007,0.03
CID044525944,0.0,0.0,0.05
CID049862644,0.0,0.0,0.18
CID049798353,0.0,0.0,0.02
CID011712734,0.079,0.001,0.13
CID002409198,0.046,0.03,0.03
CID000156422,0.0,0.0,0.03
CID057398391,0.0,0.033,0.04
CID044336137,0.0,0.024,0.03
CID006539428,0.0,0.0,0.76
CID044526072,0.0,0.027,0.04
