molid,bglf4_c_s_1,bglf4_c_l_1,bglf4_c_w_1,bglf4_p_s_1,bglf4_p_l_1,bglf4_p_w_1,pknb_c_s_1,pknb_c_l_1,pknb_c_w_1,pknb_p_s_1,pknb_p_l_1,pknb_p_w_1
11957417,0.78431372549,20,-0.17744438761812903,0.78431372549,67,-0.5692303911507249,nan,nan,-0.029036256060450995,0.836363636364,93,-0.11414163834754598
11959377,0.9026548672570001,304,-0.08151818997724697,0.860869565217,326,-0.286471941262043,nan,nan,-0.011131983316316,0.47619047618999993,7,-0.210589945180974
11959682,0.887931034483,262,-0.10153595868649598,0.8852459016390001,343,-0.3424160545302319,nan,nan,-0.015412823328129996,0.294871794872,1,-0.26907052256265496
11959683,0.887931034483,263,-0.10153595868649598,0.8852459016390001,344,-0.3424160545302319,nan,nan,-0.015412823328129996,0.294871794872,3,-0.26907052256265496
15872388,0.855769230769,160,-0.12571552949272602,0.8545454545450001,301,-0.43946368830248594,nan,nan,-0.014143885018204001,0.831578947368,144,-0.13356869770434002
15872391,0.861111111111,180,-0.11665923249884798,0.859649122807,318,-0.43010260531560796,nan,nan,-0.013208210180622997,0.8613861386139999,256,-0.11208787899834002
15872400,0.858490566038,172,-0.12360563904732003,0.8571428571430001,314,-0.44041977376106795,nan,nan,-0.014057941442555002,0.835051546392,150,-0.130967571375596
15872403,0.8348623853210001,95,-0.13635285617349993,0.8348623853210001,259,-0.458027729849601,nan,nan,-0.012711805590076002,0.844660194175,194,-0.12381702574478998
15872404,0.838095238095,105,-0.13720546177740103,0.837837837838,271,-0.4703787366773541,nan,nan,-0.014483128189688,0.824742268041,126,-0.13471616002340298
15872406,0.792079207921,24,-0.17519411456044803,0.792079207921,97,-0.5306421024293921,nan,nan,-0.016304169329242,0.8367346938779999,160,-0.13401363372191502
15872407,0.855855855856,162,-0.12467010287604802,0.854700854701,307,-0.43639440265734897,nan,nan,-0.015397474166263001,0.7979797979800001,80,-0.14933870866918297
15872408,0.8490566037739999,140,-0.12674506175583405,0.848214285714,264,-0.46029965173130305,nan,nan,-0.013510682858002004,0.8484848484849999,214,-0.11790568908210505
15872409,0.844036697248,128,-0.128933405079317,0.84347826087,171,-0.534012396308525,nan,nan,-0.013709138435020998,0.854368932039,234,-0.117582106243956
16048194,0.851063829787,148,-0.13062221558730103,0.844155844156,95,-0.531069153385209,nan,nan,-0.026660390118671003,0.868686868687,221,-0.10867157343097403
16048415,0.8522727272730001,152,-0.12785496143346195,0.851063829787,257,-0.4636371100867529,nan,nan,-0.033499880968875,0.858695652174,175,-0.10143443286356196
16051023,0.80701754386,47,-0.156490364472195,0.80701754386,158,-0.552690645245311,nan,nan,-0.022685881403933003,0.852459016393,141,-0.12543898094996495
16099859,0.8677685950409999,201,-0.12067935330493108,0.8571428571430001,319,-0.4577052228921129,nan,nan,-0.018267343998698997,0.644230769231,25,-0.19910517099512398
16219401,0.9,297,-0.09562042855785,0.736111111111,51,-0.630266934581361,nan,nan,-0.012940891286947004,0.827586206897,132,-0.13724716281248597
16236469,0.9245283018870001,341,-0.07195553421232895,0.889908256881,341,-0.26084291379227303,nan,nan,-0.020580732966695,0.917431192661,345,-0.058370255912418
16664858,0.8504672897200001,146,-0.13631890347072795,0.849557522124,263,-0.4495853993086778,nan,nan,-0.028456848902961997,0.866071428571,215,-0.112774685394483
17892742,0.80198019802,37,-0.17177652249529804,0.792452830189,98,-0.547351080812523,nan,nan,-0.014787539802232998,0.670588235294,46,-0.210995364660118
18536613,0.8504672897200001,147,-0.12524703371132195,0.849557522124,289,-0.44657208253881897,nan,nan,-0.013078837052085004,0.8383838383840001,168,-0.12718815905468797
18536627,0.858490566038,173,-0.118259279915191,0.846846846847,288,-0.4423652970010569,nan,nan,-0.012725812639743,0.858585858586,246,-0.109457094950614
21701565,0.8279569892470001,85,-0.15658776890733891,0.8279569892470001,142,-0.5869344554589898,nan,nan,-0.01769777770336,0.865168539326,264,-0.124023050776328
21951965,0.844262295082,130,-0.137251972316697,0.825396825397,165,-0.518372015880473,nan,nan,-0.023461649711251,0.801801801802,88,-0.147662719462281
22464113,0.824742268041,76,-0.14299005518099897,0.813725490196,176,-0.4752492862494219,nan,nan,-0.014143805792525003,0.7816091954019999,68,-0.148169668966585
22464120,0.808510638298,49,-0.151928308717295,0.808510638298,163,-0.47059549161813097,nan,nan,-0.014833156437125999,0.844444444444,192,-0.12473365080072196
22609796,0.906542056075,314,-0.09986743534090697,0.847058823529,137,-0.4877298751030061,nan,nan,-0.0181858715263,0.864583333333,259,-0.124973150776849
22727427,0.878504672897,237,-0.11518634750342502,0.8522727272730001,113,-0.523712961754634,nan,nan,-0.015759253162126,0.833333333333,146,-0.138756990031339
23646936,0.872549019608,219,-0.112555849226025,0.8705882352940001,167,-0.43765494737755783,nan,nan,-0.018731985191377996,0.833333333333,91,-0.14837317136760203
23646938,0.885714285714,259,-0.10661974153317601,0.873563218391,184,-0.433147600749289,nan,nan,-0.020798659016014003,0.8252427184469999,71,-0.15656447683087796
24180608,0.8971962616820001,291,-0.09551791286169595,0.816901408451,120,-0.420429160558577,nan,nan,-0.014662006701905,0.877551020408,295,-0.11178659478584796
