"coding_CID" "coding_FDR" "as_CID" "as_FDR"
"96" "CID009836050" 0.911458333333333 "CID051356854" 0.909722222222222
"97" "CID044526073" 0.912371134020619 "CID044525946" 0.909965635738832
"98" "CID051354036" 0.913265306122449 "CID044306199" 0.910204081632653
"99" "CID045269578" 0.914141414141414 "CID057396627" 0.91043771043771
"100" "CID044525926" 0.915 "CID046214650" 0.910666666666667
"101" "CID066561010" 0.915841584158416 "CID006539504" 0.910891089108911
"102" "CID010287409" 0.916666666666667 "CID000253268" 0.911111111111111
"103" "CID006539606" 0.91747572815534 "CID044305551" 0.911326860841424
"104" "CID053322416" 0.918269230769231 "CID053469824" 0.911538461538462
"105" "CID060150509" 0.919047619047619 "CID044525938" 0.911746031746032
"106" "CID010086873" 0.919811320754717 "CID044532997" 0.911949685534591
"107" "CID044578630" 0.920560747663551 "CID051356289" 0.91214953271028
"108" "CID044525940" 0.921296296296296 "CID044397192" 0.912345679012346
"109" "CID006539455" 0.922018348623853 "CID044525950" 0.912538226299694
"110" "CID011427162" 0.922727272727273 "CID044526078" 0.912727272727273
"111" "CID010161259" 0.923423423423423 "CID006539492" 0.912912912912913
"112" "CID046215816" 0.924107142857143 "CID046215814" 0.913095238095238
"113" "CID044526071" 0.924778761061947 "CID044397011" 0.913274336283186
"114" "CID044525924" 0.925438596491228 "CID044592502" 0.913450292397661
"115" "CID057396626" 0.926086956521739 "CID006539609" 0.913623188405797
"116" "CID010639924" 0.926724137931034 "CID044591552" 0.913793103448276
"117" "CID006539571" 0.927350427350427 "CID000838889" 0.913960113960114
"118" "CID024802961" 0.927966101694915 "CID044529114" 0.914124293785311
"119" "CID044527361" 0.928571428571429 "CID070691776" 0.914285714285714
"120" "CID051356852" 0.929166666666667 "CID009945696" 0.914444444444444
"121" "CID009865518" 0.929752066115702 "CID025263100" 0.914600550964187
"122" "CID044525957" 0.930327868852459 "CID006539588" 0.914754098360656
"123" "CID044525958" 0.930894308943089 "CID044526922" 0.914905149051491
"124" "CID044525921" 0.931451612903226 "CID046886665" 0.91505376344086
"125" "CID022112846" 0.932 "CID006539463" 0.9152
"126" "CID044578709" 0.932539682539683 "CID044397230" 0.915343915343915
"127" "CID006539398" 0.933070866141732 "CID005329841" 0.915485564304462
"128" "CID053469449" 0.93359375 "CID051357954" 0.915625
"129" "CID044527657" 0.934108527131783 "CID066561013" 0.915762273901809
"130" "CID006539467" 0.934615384615385 "CID025263085" 0.915897435897436
"131" "CID044526099" 0.935114503816794 "CID025263102" 0.916030534351145
"132" "CID044532720" 0.935606060606061 "CID053469634" 0.916161616161616
"133" "CID006539613" 0.93609022556391 "CID000003134" 0.916290726817043
"134" "CID009958299" 0.936567164179104 "CID051357696" 0.916417910447761
"135" "CID044525953" 0.937037037037037 "CID057391365" 0.916543209876543
"136" "CID044532478" 0.9375 "CID000309461" 0.916666666666667
"137" "CID044525486" 0.937956204379562 "CID011959683" 0.916788321167883
"138" "CID009945516" 0.938405797101449 "CID070683337" 0.917391304347826
"139" "CID006539498" 0.938848920863309 "CID044529279" 0.917985611510791
"140" "CID006539465" 0.939285714285714 "CID002787267" 0.918571428571429
"141" "CID044525974" 0.939716312056738 "CID000000007" 0.919148936170213
"142" "CID053317178" 0.940140845070423 "CID009826528" 0.919718309859155
"143" "CID066561090" 0.940559440559441 "CID009926791" 0.92027972027972
"144" "CID011529890" 0.940972222222222 "CID005330286" 0.920833333333333
"145" "CID006539426" 0.941379310344828 "CID017754438" 0.921379310344828
"146" "CID051356855" 0.941780821917808 "CID006450551" 0.921917808219178
"147" "CID044529278" 0.942176870748299 "CID010452739" 0.922448979591837
"148" "CID024804298" 0.942567567567568 "CID023133388" 0.922972972972973
