,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
ABL1,0.6058528105080162,0.6775646614356292,0.5836572094830937,0.5700711431634343,0.5652492668621701,0.579370526522208,0.5717938630999214,0.5931735227384828,0.5895507619236098,0.5936476426799008,0.6439665471923537,0.6432637571157496,0.6439628482972135,0.634141454618313,0.7496493688639552,0.7440458245402474,0.7630388905637624,0.7629032258064516,0.7538679340681566,0.7914854889270906,0.7961046865489958,0.7955632441233336,0.7934262745497099,0.792001628167294,0.7863030426376311,0.8313829245955022,0.8320743160473661,0.8306195596518178,0.8298746661187589,0.8518594616807068,0.845181836860489,0.8535031847133758,0.8519014737709986,0.849221890137071,0.8500827129859387,0.8494969401514365,0.8651592158489784,0.8636836628511967,0.8863683662851198,0.885061071093016,0.889341267355674,0.8891914537075828,0.8897761899758327,0.893558894609646,0.8987075759167806,0.8986928104575165,0.901222854733291,0.9008989952406135
ABL1_E255K,0.6102195945945945,0.6859939759036144,0.6005947885196374,0.5873579545454546,0.5799297112462005,0.5915586890243902,0.625382262996942,0.6243289877300614,0.6225,0.6664737654320988,0.670859133126935,0.6706133540372671,0.6749805900621116,0.6680295950155762,0.7039524922118381,0.6996093749999999,0.8167968749999999,0.8172021943573666,0.8139740566037736,0.848368710691824,0.8440457413249212,0.8423655063291139,0.8438488924050633,0.8386075949367089,0.8749011075949368,0.867879746835443,0.8672619047619047,0.8676587301587302,0.866938694267516,0.8828622611464969,0.8767914012738853,0.8915207006369427,0.8882787539936102,0.8898761980830671,0.8900240384615384,0.8906752411575563,0.8895161290322582,0.9013104838709678,0.9244959677419355,0.9241504854368932,0.9235998376623379,0.9233509771986971,0.9250814332247556,0.9296620521172636,0.9296364379084968,0.9311683006535947,0.9313524590163935,0.9317622950819672
ABL1_H396P,0.626829954954955,0.6940417921686747,0.5984233383685801,0.5876420454545453,0.5965045592705167,0.5939405487804879,0.6179281345565749,0.6168519938650308,0.6151923076923077,0.6553819444444444,0.6697948916408669,0.670322204968944,0.6582943925233645,0.6702686915887851,0.7032710280373832,0.803446261682243,0.7961448598130842,0.796875,0.7932014106583072,0.8269984326018809,0.8255699685534591,0.8245268138801262,0.8222594637223974,0.8259069400630915,0.864846214511041,0.8608044164037856,0.8598694620253164,0.8590277777777777,0.8611111111111112,0.8823412698412699,0.8764880952380952,0.8804563492063492,0.8771894904458598,0.8740047770700636,0.8745007987220447,0.8744991987179487,0.8718850482315113,0.8879622186495177,0.9094654340836011,0.9086693548387096,0.9083737864077671,0.9082792207792209,0.911627435064935,0.911644951140065,0.9156148208469055,0.9232491856677525,0.9226919934640523,0.922438524590164
ABL1_M351T,0.6507393209200438,0.7129909365558913,0.6263085399449035,0.6137514967302201,0.6257390983000739,0.6232045222870911,0.6174939579847556,0.6316083916083916,0.631406659184437,0.6634768740031899,0.7209674383587428,0.7203813839327858,0.7335032568677429,0.7527462121212122,0.7515151515151515,0.8399621212121212,0.8355113636363636,0.8348057376270542,0.8299028016009149,0.8614446350295407,0.8643533123028391,0.8633486766398158,0.8619102416570772,0.8664173379363252,0.9026658995013426,0.9003644035289605,0.8999518999519,0.8996332754294537,0.9018529241459178,0.9170044392974329,0.9119861030689056,0.91391623238757,0.9101524802161745,0.9083188573634434,0.9082195759512053,0.9097707847707849,0.9302641802641802,0.9289681379713534,0.9427068108740135,0.9405631881516127,0.9404692082111437,0.9400804158085712,0.9439050701186624,0.9436245572609209,0.9479535615899253,0.9525777253049981,0.9524232553548515,0.9522677757971876
ABL1_Q252H,0.6155217717717718,0.6795463102409638,0.5773697129909365,0.5668087121212122,0.5613126899696048,0.5665967987804877,0.601395259938838,0.600364263803681,0.6007692307692307,0.632619598765432,0.6754063467492258,0.6750776397515528,0.6855590062111802,0.7059968847352025,0.7061915887850468,0.8164914330218068,0.8112344236760124,0.8103515625,0.8059365203761755,0.8343456112852664,0.8362814465408805,0.833596214511041,0.8375394321766562,0.8390181388012617,0.8760843848580444,0.8738170347003154,0.8734177215189873,0.8767800632911392,0.8760912698412698,0.8999007936507937,0.8962301587301588,0.8985119047619048,0.8919187898089173,0.8900278662420381,0.8902755591054313,0.8901241987179488,0.8874598070739549,0.9061495176848875,0.9263464630225079,0.9265120967741935,0.9250606796116505,0.9248173701298702,0.9281655844155844,0.9367897727272728,0.9368892508143322,0.9401465798045603,0.9401552287581699,0.943423202614379
ABL1_T315I,0.5968534906588003,0.6159872890642122,0.5595551172474249,0.5354434553247609,0.5151014109347443,0.5096738529574351,0.5186294078509648,0.5172950728506284,0.5244310575635877,0.5141546380217075,0.5145903479236813,0.6878787878787879,0.6971743780254418,0.7119216480918609,0.7498592817741754,0.8407069683665428,0.8464482719801868,0.8504968383017163,0.8457356439007816,0.8483299250170416,0.8414814814814815,0.8371056241426612,0.8367159729388832,0.892328861369109,0.8998159650333564,0.899388485058267,0.8951388888888888,0.894926274236619,0.894945259725134,0.8943801846010048,0.9019745297347821,0.9155275148966,0.9104547585560243,0.9150257852789498,0.9139329805996472,0.9135409294644963,0.9175513092710545,0.9246284501061572,0.9263977353149329,0.9269908886522304,0.9248575498575498,0.9211775878442544,0.9186614267000118,0.9183990442054959,0.916726403823178,0.9164569099844181,0.9161856661856662,0.9197931697931698
ABL1_Y253F,0.612178868070311,0.6894313668507217,0.5985717061795569,0.5883929441574894,0.5809872922776148,0.5973134621041278,0.6349331235247836,0.6336194140278189,0.6297249158915496,0.6796029776674937,0.6802070888092393,0.6791171477079796,0.6837111754718865,0.6777198958124625,0.7116810258465238,0.7050547683649885,0.8172043010752689,0.8184475806451612,0.8148447770249773,0.845990494488826,0.8457090687766282,0.8434924188460364,0.8244181298489179,0.824213964883626,0.8625969783585138,0.8557574520212332,0.8554019457245264,0.8574500768049156,0.8562769673310048,0.8773371686870762,0.8701458804191493,0.8807273474419559,0.876739152839328,0.8749871173863755,0.8747932175351529,0.8754278601804792,0.8735691987513007,0.8902185223725286,0.9130072840790844,0.9109510387305565,0.9107666527021365,0.9105810654618051,0.9146789954817695,0.9214038037196596,0.9209361163820365,0.923571579169302,0.9238498149127445,0.9258593336858806
AKT1,0.5,0.05805946791862287,0.0630885122410546,0.07774630154233556,0.0909090909090909,0.0857866413421969,0.0615873015873016,0.994920634920635,0.9949060808659662,0.9948914431673053,0.994876721101505,0.9948619139370584,0.9948470209339775,0.9948320413436693,0.9948169744088111,0.9948018193632229,0.9947865754317367,0.9947712418300654,0.9947558177646674,0.9947403024326101,0.994724695021431,0.9947089947089948,0.99469320066335,0.9946773120425816,0.9946613279946612,0.9946452476572959,0.994629070157771,0.9946127946127945,0.994596420128335,0.994579945799458,0.9945633707101598,0.994546693933197,0.9945299145299146,0.9945130315500685,0.9944960440316477,0.9944789510006902,0.9944617514710973,0.9944444444444445,0.9944270289097875,0.9944095038434662,0.9943918682089029,0.9943741209563994,0.9943562610229277,0.9943382873319179,0.9943201987930423,1.0,1.0,1.0
AKT2,0.06245011971268955,0.032012805122048814,0.03852327447833067,0.05835010060362172,0.04842615012106537,0.06677458518818288,0.05235389610389608,0.9995941558441559,0.9995929995929995,0.9995918367346939,0.9995906672124437,0.9995894909688013,0.9995883079456567,0.9995871180842278,0.9995859213250518,0.9995847176079735,0.9995835068721366,0.9995822890559733,0.9995810640971932,0.9995798319327731,0.9995785924989465,0.9995773457311918,0.9995760915642221,0.9995748299319729,0.9995735607675906,0.9995722840034217,0.9995709995709996,0.9995697074010327,0.9995684074233924,0.9995670995670995,0.9995657837603127,0.9995644599303136,0.999563128003495,0.9995617879053462,0.9995604395604396,0.9995590828924164,0.9995577178239716,0.9995563442768411,0.9995549621717845,0.9995535714285714,0.9995521719659651,0.9995507637017071,0.9995493465525012,0.9995479204339963,0.999546485260771,0.9995450409463149,0.9995435874030123,0.9995421245421245
AKT3,0.13225475089881866,0.08356940509915013,0.10433884297520661,0.1250971250971251,0.12285714285714286,0.13414951810367282,0.09430512016718916,0.9312957157784744,0.9297877914592612,0.9301103520756699,0.9299077733860343,0.9312896405919662,0.9300291545189504,0.9300903774587985,0.9301519594774726,0.93048128342246,0.9308125502815768,0.9311457772996234,0.9266253034799029,0.9264069264069265,0.9264586160108548,0.9265106151333696,0.9251979251979252,0.9164841182913471,0.9165064542708047,0.9165289256198348,0.9165515335728102,0.9162971175166297,0.9168751737559077,0.9168990518683771,0.916083916083916,0.9161054994388328,0.9158457641429777,0.9158667419536984,0.914471821013877,0.9147727272727272,0.9202051866628669,0.9202401372212693,0.919414969888156,0.9191599539700805,0.9194805194805195,0.9195136074116965,0.9195469067673541,0.9198717948717948,0.9222027972027971,0.9225372698041507,0.9217008797653958,0.919976463665784
