molid,b_cs,b_cl,b_cw,b_bs,b_bl,b_bw
10113568,0.8780487804880001,289,-0.23599294676545002,0.879120879121,163,-0.532038037132368
10125875,0.842857142857,218,-0.25026809289066004,0.483333333333,15,-0.95918633800198
10133732,0.820512820513,154,-0.25747633128262,0.725,84,-0.70288510570265
10158653,0.763888888889,56,-0.33031113851764005,0.9,307,-0.43471302740637996
10160775,0.820512820513,156,-0.28451651928736,0.85393258427,164,-0.5505175655022101
10171618,0.833333333333,188,-0.2437207897057,0.676056338028,69,-0.7520407169866901
10173796,0.845238095238,219,-0.27498011210869,informer,informer,informer
10193464,0.871794871795,280,-0.21921069863941,0.657534246575,63,-0.73469925516439
10193482,0.8571428571430001,246,-0.24652871805474988,0.515151515152,24,-0.9475688657995202
10200651,0.844155844156,213,-0.26174101906298997,0.746835443038,90,-0.60251584761577
10215776,0.8266666666670001,170,-0.27729128220642996,0.444444444444,9,-1.09160477937481
10236195,0.8695652173909999,274,-0.24446880080874003,0.9,310,-0.44150775346980986
10272700,0.827160493827,174,-0.27407044420359,0.8068181818179999,108,-0.6647197086583801
10286242,0.8405797101450001,210,-0.24738920208552992,0.448275862069,12,-1.01414155364078
10294883,0.4,4,-0.5442304031854799,0.819277108434,129,-0.54020760136018
10295475,0.868421052632,270,-0.24803291192018004,0.909090909091,295,-0.39600945937338006
10308522,0.837837837838,198,-0.26909626465756,informer,informer,informer
10321190,0.782051282051,72,-0.32259569525689,0.8709677419349999,306,-0.4590554313606102
10469531,0.830985915493,184,-0.27344495684972,0.8928571428569999,218,-0.48827293805188027
10475737,0.788732394366,80,-0.3041419521755201,0.8571428571430001,236,-0.5215341830772899
11155941,0.578125,25,-0.4377831059386399,0.7976190476189999,99,-0.58182733460078
11163861,0.7272727272730001,30,-0.39964604067116993,informer,informer,informer
11231939,0.369565217391,5,-0.53444501300561,0.881578947368,330,-0.45498780928638993
11233873,0.8875,311,-0.22332434039559007,0.8488372093019999,76,-0.6198274032625501
11244488,0.266666666667,1,-0.5994024289957,0.8421052631579999,213,-0.55611032731991
11247002,0.888888888889,317,-0.21121136149977,0.8505747126440001,80,-0.5611123711831398
11269477,0.865853658537,264,-0.24590066990420997,0.855555555556,92,-0.5639735594772197
11273032,0.854368932039,241,-0.24400695628868002,0.867256637168,154,-0.55314932127201
11281930,0.8266666666670001,172,-0.28868218254256994,0.79012345679,43,-0.63535409451453
11284937,0.881818181818,299,-0.21579030492329004,0.863247863248,176,-0.5432396714219802
11290221,0.761904761905,52,-0.31721635441991997,0.8571428571430001,131,-0.5398035812427099
11307581,0.877358490566,285,-0.23237231747576997,0.868421052632,124,-0.56532271722114
11328632,0.626865671642,31,-0.39030541440593003,0.8,102,-0.5955974563495201
11392350,0.5,15,-0.42041651480751996,0.6461538461540001,60,-0.7225833513342399
11453116,0.894117647059,320,-0.21777142559380003,0.8695652173909999,125,-0.5155994759544702
11473228,0.791044776119,96,-0.3054693054828299,0.833333333333,162,-0.50522462330614
11502866,0.807692307692,109,-0.2530341918722001,0.816091954023,117,-0.5336259999886199
11569498,0.8777777777779999,287,-0.24334944629188004,0.84375,68,-0.6007205076711
11604319,0.41071428571400004,6,-0.54208261089405,0.8352941176469999,174,-0.51608668004883
11605761,0.820224719101,155,-0.24563018864756997,0.8383838383840001,198,-0.5383987319160899
11617559,0.787878787879,78,-0.31607001314053995,0.90243902439,311,-0.40874944790674994
11626927,0.827160493827,173,-0.27694579713997,0.858695652174,182,-0.5134413801511201
11627264,0.833333333333,185,-0.24500751110143,0.8383838383840001,201,-0.5356885095189199
11640889,0.83908045977,199,-0.2590553845311,0.81914893617,126,-0.55066113376714
11656050,0.816091954023,135,-0.24995929159740995,0.8105263157889999,111,-0.5726689865567
11669455,0.829268292683,181,-0.23200806998832002,0.835164835165,171,-0.5300475606338502
11680113,0.878787878788,290,-0.22982252617812998,0.8648648648649999,288,-0.4399492614337801
11717091,0.288888888889,2,-0.63290393547666,0.855263157895,190,-0.48821273310994995
11751266,0.896551724138,327,-0.1998879249701,0.8723404255320001,136,-0.5164418591181599
11957417,0.827160493827,175,-0.29091759673627,0.894736842105,226,-0.4770886673553699
11959377,0.9080459770110001,338,-0.15962655578640994,0.917525773196,349,-0.30914164797658994
11959682,0.8505747126440001,227,-0.24403948810562992,0.888888888889,333,-0.3767555912055599
11959683,0.8505747126440001,229,-0.24403948810562992,0.888888888889,336,-0.3767555912055599
15872388,0.767123287671,58,-0.357964818739475,0.837209302326,186,-0.49108608485644
15872391,0.7948717948720001,100,-0.30398043434745997,0.804597701149,105,-0.5310203663706
15872400,0.7567567567569999,48,-0.36174117341204803,0.840909090909,207,-0.48106124079484985
15872403,0.79012345679,88,-0.31944727021930003,0.851063829787,237,-0.46756021647196994
15872404,0.776315789474,64,-0.33985170544768994,0.816091954023,120,-0.5262740543821399
15872406,0.7432432432430001,44,-0.3959037835139,0.855555555556,249,-0.50445002034301
15872407,0.79012345679,90,-0.3223070192594101,0.826086956522,147,-0.5031328017839999
15872408,0.776315789474,66,-0.33303369943128003,0.855555555556,252,-0.46426522671703996
15872409,0.7875,76,-0.3241069049735501,0.873684210526,143,-0.5398314213616401
16048194,0.820895522388,159,-0.29399051954235,0.844155844156,71,-0.54683987842827
16048415,0.8196721311480001,152,-0.30614414219197994,0.891891891892,217,-0.4678127450280399
16051023,0.849462365591,234,-0.25521620862215005,0.885714285714,193,-0.4848478275222299
16099859,0.851063829787,233,-0.25662863513166,0.843137254902,216,-0.5182492037443998
16219401,0.791044776119,98,-0.30440928842887,0.786666666667,40,-0.7194638255676999
16236469,0.950617283951,349,-0.08822306644096992,0.9204545454549999,332,-0.3256346329595802
16664858,0.894117647059,325,-0.18806871539463005,0.844444444444,222,-0.5218410350449699
17892742,0.7894736842110001,84,-0.36398219913285995,0.740740740741,87,-0.7286111930329799
18536613,0.779220779221,70,-0.32581319235109,0.8695652173909999,297,-0.44700879130815
18536627,0.7894736842110001,86,-0.320195130649048,0.8666666666670001,294,-0.4487808878720598
21701565,0.75,45,-0.3347835100910899,0.860759493671,103,-0.57148544815338
21951965,0.808510638298,113,-0.28363111509831995,0.87037037037,127,-0.5468878782162799
22464113,0.802816901408,122,-0.30369814330793,0.869047619048,293,-0.5156487137941299
22464120,0.8142857142859999,136,-0.29079491542805996,0.865853658537,277,-0.5101001500283799
22609796,0.760563380282,47,-0.36696715188733003,0.860465116279,101,-0.55047514996523
22727427,0.8026315789470001,93,-0.29938364357955993,0.83908045977,85,-0.6073081200746798
23646936,0.868421052632,277,-0.23771655703181002,0.8705882352940001,130,-0.5426739123041397
23646938,0.8571428571430001,247,-0.25533740047212994,0.847058823529,140,-0.56820542007926
24180608,0.728571428571,32,-0.33265418275690994,0.9,342,-0.35626649049379994
24856364,0.833333333333,187,-0.28979382278357,0.875,196,-0.5211983861116201
24896610,0.8421052631579999,209,-0.29295283850131004,0.7105263157889999,74,-0.83848788778125
24949545,0.819277108434,145,-0.30743226227523,0.7441860465119999,53,-0.82289463486853
25023715,0.915662650602,342,-0.18501760550007995,0.9130434782610001,308,-0.3726557297038199
