molid,rop18_c_s_2,rop18_c_l_2,rop18_c_w_2,rop18_p_s_2,rop18_p_l_2,rop18_p_w_2
CID044526071,0.828571428571,128,-0.27195754973118,0.79381443299,113,-0.28209946419834
CID057394915,0.85,196,-0.23420961268551002,0.81308411215,150,-0.27476803840852004
CID044525924,0.8928571428569999,346,-0.26763808431958,0.745098039216,70,-0.41261447032056997
CID023648890,0.8125,79,-0.22398491375304005,informer,informer,informer
CID057396626,0.910256410256,383,-0.17315762536183998,0.878504672897,348,-0.23315396778443004
CID010639924,0.745762711864,21,-0.2969450344681,0.788888888889,106,-0.24451516532513998
CID006539571,0.8656716417910001,271,-0.20733066585536997,0.84375,234,-0.25911651728862
CID024802961,0.85,197,-0.23286623318657002,0.845454545455,241,-0.39246651696514
CID044527361,0.84375,178,-0.21556608468532,0.864583333333,311,-0.23279494782452
CID051356852,0.83606557377,150,-0.20018512363149,0.895833333333,374,-0.19593603503777002
CID009865518,0.8289473684209999,132,-0.2158891633841601,0.772277227723,88,-0.34667641734603
CID044525957,0.8901098901100001,336,-0.26055169953567,0.64,23,-0.42015863067312
CID044525958,0.863636363636,257,-0.29369022052947996,0.59375,17,-0.42804487391347
CID044525921,0.8705882352940001,284,-0.28282575926486,0.740384615385,64,-0.39380330384842
CID022112846,0.8589743589740001,237,-0.21568465504065998,0.8190476190479999,159,-0.29061609857359005
CID044578709,0.8227848101270001,107,-0.25406972018722995,0.803738317757,129,-0.32811818709755997
CID006539398,0.7972972972969999,50,-0.24621496316758004,0.708333333333,44,-0.46587530866437
CID006539501,0.876712328767,299,-0.25360984420131005,0.8061224489800001,135,-0.26419763214179
CID053469449,0.8433734939759999,175,-0.30876995407341,0.8706896551719999,321,-0.30639626918688
CID024804781,0.890243902439,338,-0.19077294790716004,informer,informer,informer
CID044527657,0.791044776119,43,-0.25286633231254,0.80412371134,132,-0.25055722296573
CID006539467,0.8484848484849999,190,-0.26019479372639004,0.78021978022,95,-0.24752981678993996
CID045272980,0.805970149254,64,-0.25408080935044,0.802083333333,123,-0.27090794099337
CID044526099,0.784615384615,36,-0.25669032074432996,0.689655172414,36,-0.39088202046313003
CID044532720,0.588235294118,13,-0.29791542825074,0.849462365591,256,-0.23862814837698001
CID006539613,0.88,311,-0.17462766129972998,0.844660194175,239,-0.2617230952128
CID009958299,0.909090909091,381,-0.16795356167134,0.860869565217,301,-0.25055593145850996
CID044525953,0.865168539326,268,-0.25724505661289,0.64,24,-0.41231333387355007
CID044532478,0.827586206897,124,-0.21253479776255998,0.858333333333,291,-0.28732492255319003
CID044525486,0.827160493827,122,-0.2837786904517,0.586956521739,15,-0.45374599520901004
CID009945516,0.225,2,-0.49607129204524,0.835164835165,204,-0.24880625206191004
CID011133737,0.813333333333,82,-0.24129029533294,0.8301886792450001,186,-0.27753701164154
CID006539498,0.8769230769230001,301,-0.24484510585449998,0.863157894737,307,-0.22838273760288
CID006539465,0.8688524590160001,277,-0.28095161331193,0.8314606741570001,190,-0.22133649854983994
CID044525974,0.8421052631579999,170,-0.2200781792616,0.7821782178219999,98,-0.32057911425539
CID056670156,0.849462365591,195,-0.22909418746707003,informer,informer,informer
CID053317178,0.8,53,-0.23113528075866,0.8777777777779999,345,-0.19560031539136005
CID066561090,0.8571428571430001,220,-0.2769476940907699,0.8508771929819999,260,-0.30956827468886006
CID011529890,0.27906976744199996,4,-0.4546537178788799,0.852631578947,270,-0.22710131848242
CID006539426,0.791666666667,45,-0.24672525946126997,0.493827160494,9,-0.4871108237988299
CID051356855,0.83606557377,151,-0.19970092523506,0.895833333333,375,-0.19523886252678002
CID044529278,0.8181818181820001,99,-0.26636520657500995,0.42045454545500005,6,-0.4918009273866
CID051354327,0.8433734939759999,176,-0.26478803599007006,0.8407079646019999,222,-0.28271042336658003
CID024804298,0.847058823529,184,-0.23255657732108004,0.833333333333,197,-0.41269375355716004
CID044532690,0.858695652174,232,-0.20366070099120998,0.8709677419349999,322,-0.28485893829759
CID044525951,0.886363636364,327,-0.25379987805162,0.628865979381,19,-0.42347091756841004
CID044529262,0.8426966292129999,173,-0.25249081542889,0.431818181818,7,-0.47632170270504004
CID005329826,0.886363636364,328,-0.19515869931567,informer,informer,informer
CID051357138,0.861111111111,247,-0.20841083024505003,0.8962264150939999,377,-0.2090698347346
CID011224168,0.84,163,-0.20863006003149004,0.7021276595739999,41,-0.30775438514183007
CID044279444,0.8933333333329999,353,-0.18504910287883003,0.854368932039,278,-0.26534461219432004
CID044525965,0.8571428571430001,221,-0.23195570658371994,0.7575757575759999,82,-0.38529691754503004
CID006539512,0.836363636364,153,-0.20565666516587,0.9,381,-0.17184332817464
CID044525922,0.855421686747,217,-0.33105865339025,0.7,39,-0.4277201357928001
CID046927672,0.858585858586,231,-0.21927629183126,0.724137931034,50,-0.49243974125709994
CID006539475,0.903225806452,371,-0.22617169783203,0.89247311828,371,-0.18832338514947994
CID006539458,0.8730158730159999,289,-0.22289224667395002,0.8723404255320001,326,-0.19971036258636998
CID044525942,0.858823529412,233,-0.28592781200306006,0.730769230769,56,-0.42235004141462995
CID044532477,0.814814814815,87,-0.21892678762217002,0.8508771929819999,261,-0.285336530583
CID044397393,0.897058823529,362,-0.17481546807836001,0.865979381443,312,-0.21191388876434997
CID044532737,0.864197530864,265,-0.18574101129140003,0.885964912281,362,-0.22730050789648998
CID009901062,0.7741935483869999,27,-0.24486658241138004,0.738636363636,63,-0.26965971881571
CID044525967,0.8421052631579999,171,-0.28451782866144004,0.677419354839,33,-0.41400708746462006
CID044525964,0.8352941176469999,145,-0.30167243094942003,0.7115384615379999,45,-0.3826823341981
CID044571415,0.896551724138,361,-0.18524542107918002,0.860869565217,302,-0.23837674808987006
CID051356856,0.861538461538,249,-0.20386750394485004,0.8989898989899999,378,-0.21276466311206
CID044525935,0.890243902439,339,-0.26738173888933003,0.752475247525,79,-0.40336624452533004
CID044525954,0.8488372093019999,191,-0.2690487040327201,0.632653061224,20,-0.41201575261213996
CID044532446,0.876543209877,297,-0.18633441887927005,0.844036697248,237,-0.27729766643297993
CID071451677,0.8780487804880001,305,-0.21535305649307995,0.8348623853210001,202,-0.27720121039479995
CID044591845,0.886363636364,329,-0.19220491675924,0.853448275862,272,-0.39536050674078993
CID044532526,0.830769230769,135,-0.18730903788538,0.724137931034,51,-0.30822420553781
CID044525949,0.862068965517,253,-0.29599973253839,0.589473684211,16,-0.42975771533211
CID044525920,0.883720930233,320,-0.2861632673492,0.740384615385,65,-0.40673312544125995
CID044525941,0.8953488372089999,357,-0.22498844313648,0.785046728972,101,-0.39184881461873
CID044397687,0.825396825397,117,-0.23205755190790003,0.8404255319149999,217,-0.25516619086229
CID005329477,0.8421052631579999,172,-0.21305754763231005,0.849206349206,255,-0.28422858322008004
CID009879605,0.816666666667,93,-0.21373277070886995,0.7816091954019999,97,-0.21140202879435005
CID009903786,0.8688524590160001,278,-0.20405148668943,0.8571428571430001,287,-0.21227481505343992
CID053466728,0.8,54,-0.29604826467876,0.8532110091740001,271,-0.31094863725806005
CID009935852,0.8953488372089999,358,-0.17906260540233002,0.839285714286,214,-0.26965543630517996
CID006539477,0.8550724637680001,215,-0.23062370073003,0.824742268041,172,-0.23762074147947
CID009880709,0.846153846154,181,-0.24379076644843004,0.829787234043,184,-0.24673458501778003
CID000069689,0.9074074074070001,378,-0.12830356098856993,0.919540229885,392,-0.17459008997506004
CID044525962,0.883720930233,321,-0.23633774623355,0.635416666667,21,-0.45136577326607
CID010358578,0.830769230769,136,-0.21590263033509,0.8556701030930001,282,-0.22143267580332002
CID025263079,0.868421052632,276,-0.21623810971176005,0.79,109,-0.26925429178158
CID044525963,0.8850574712639999,324,-0.24960177289041005,0.777777777778,92,-0.35784448435143
CID015407403,0.8026315789470001,57,-0.24950243862718996,0.8,120,-0.30160687500076
CID044525936,0.8928571428569999,347,-0.24460991568446,0.745098039216,71,-0.41731354268390997
CID044525952,0.863636363636,258,-0.26645036604461,0.636363636364,22,-0.42728699873171
CID006539519,0.8840579710140001,323,-0.20641860440343993,0.9019607843140001,385,-0.19026100321585998
CID006539416,0.7972972972969999,51,-0.23355805878415,0.506024096386,10,-0.47975314666468005
CID006539591,0.8783783783779999,307,-0.18963736923865004,0.843137254902,231,-0.25679815547124
CID046927597,0.87,283,-0.21703539185005,informer,informer,informer
CID006539566,0.863636363636,259,-0.20110552395514,0.854166666667,274,-0.22030045214297997
CID011514099,0.814814814815,88,-0.22310014739862005,0.875,334,-0.18573116016171
CID044525932,0.863636363636,260,-0.3219987181218,0.714285714286,46,-0.42090413178189
CID051354328,0.855421686747,218,-0.24342495513129003,0.839285714286,215,-0.27572136803447
CID000099545,0.8571428571430001,222,-0.19612426388911997,0.9,382,-0.1887429071501
CID006539507,0.8507462686570001,199,-0.24442383597002998,0.808510638298,141,-0.24722327199208005
CID044526068,0.833333333333,142,-0.24493811889824002,0.8210526315790001,165,-0.26014017828611
CID044525931,0.876543209877,298,-0.29308004603971,0.7272727272730001,54,-0.42234643643181
CID025263105,0.888888888889,334,-0.18160104079810999,0.820754716981,163,-0.23128442881651
CID044532683,0.860465116279,243,-0.23779539551447,0.757009345794,81,-0.40132424353222
