molid,bglf4_c_s_2,bglf4_c_l_2,bglf4_c_w_2,bglf4_p_s_2,bglf4_p_l_2,bglf4_p_w_2,pknb_c_s_2,pknb_c_l_2,pknb_c_w_2,pknb_p_s_2,pknb_p_l_2,pknb_p_w_2,rop18_c_s_2,rop18_c_l_2,rop18_c_w_2,rop18_p_s_2,rop18_p_l_2,rop18_p_w_2
CID006450551,0.85,132,-0.050336359461136,0.826530612245,91,-0.10141562335423798,0.881188118812,332,-0.0063726431338739994,0.878787878788,307,-0.07027558125462599,0.774647887324,28,-0.22935447192421998,0.8490566037739999,253,-0.23806827167989003
CID010452739,0.821917808219,70,-0.05155943797651902,0.8877551020409999,307,-0.078688262692892,0.811111111111,54,-0.008290704753820002,0.882978723404,323,-0.06951098440655601,0.808823529412,72,-0.24186524358537004,0.828282828283,181,-0.24709495967404996
CID023133388,0.8915662650599999,274,-0.037684277470272004,0.872549019608,255,-0.09698024092081198,0.8105263157889999,52,-0.007223593274207005,0.738636363636,36,-0.14525383675315495,0.824324324324,109,-0.22209068111109997,0.78,94,-0.3412088434995699
CID044305910,0.911764705882,349,-0.03742341631547401,0.922222222222,388,-0.054158007204413,0.698630136986,12,-0.009171973343216,0.8928571428569999,342,-0.06427512633174504,0.887096774194,332,-0.18194092696796998,0.8695652173909999,319,-0.19790326802172004
CID010173796,0.923913043478,378,-0.03705109303675,informer,informer,informer,0.834951456311,139,-0.006918762293085001,informer,informer,informer,0.83950617284,161,-0.22249532104254002,informer,informer,informer
CID000599038,0.929577464789,385,-0.03461347690214699,0.912087912088,370,-0.059961971497032994,0.831325301205,126,-0.006562002375691999,0.855421686747,214,-0.08025535359192698,0.854838709677,213,-0.19175719323374,0.8842105263160001,357,-0.196785875332
CID000156414,0.91,340,-0.05042480477193501,0.881355932203,291,-0.08028877049403599,0.828828828829,116,-0.008272048170609,0.836363636364,153,-0.101159081183957,0.927835051546,397,-0.17714128601616003,0.8220338983050001,167,-0.29113754226374
CID044526070,0.765625,6,-0.06541767922160402,0.85393258427,179,-0.095482422343021,0.863636363636,261,-0.008398068901046,0.873563218391,278,-0.07444042908121898,0.825396825397,116,-0.266611149147832,0.802197802198,125,-0.27929414888774995
CID044578566,0.861111111111,155,-0.04639763670072,0.8709677419349999,251,-0.08831397860595601,0.8426966292129999,174,-0.006867947445230001,0.8901098901100001,339,-0.06224804977484896,0.8840579710140001,322,-0.19657524508714,0.8571428571430001,286,-0.21707445218500993
CID044529220,0.893203883495,279,-0.050227602458834994,0.838983050847,129,-0.11007624338237601,0.826086956522,104,-0.007083518170304998,0.757009345794,61,-0.14000919625471597,0.852631578947,206,-0.23604923676185,0.434782608696,8,-0.49055635068666
CID009836050,0.805970149254,46,-0.051223445384801,0.89247311828,327,-0.070552308038395,0.83908045977,155,-0.008155978727052,0.862068965517,238,-0.07595276547948203,0.75,22,-0.25596457696943997,0.76404494382,84,-0.24010385645204002
CID056673516,0.8962264150939999,297,-0.042299467227936025,informer,informer,informer,0.840336134454,164,-0.008226335817344003,informer,informer,informer,0.88,310,-0.19706040975784,informer,informer,informer
CID044526073,0.776119402985,14,-0.063281122603475,0.858695652174,198,-0.09391092856310797,0.855555555556,228,-0.008068486882854999,0.865168539326,252,-0.07702900436370098,0.796875,48,-0.29372317346971,0.795698924731,116,-0.29228384706126
CID051354036,0.86170212766,158,-0.04633030824026599,0.839285714286,130,-0.10279281935442501,0.825688073394,103,-0.007760077813936002,0.833333333333,139,-0.09596060380107801,0.879120879121,308,-0.21138164304748,0.838983050847,212,-0.26612402845774
CID019879232,0.791044776119,33,-0.046293796494690995,0.916666666667,377,-0.066509014353144,0.85393258427,223,-0.008352519704847001,0.876404494382,295,-0.07400888336806802,0.8484848484849999,189,-0.19319508203913002,0.878787878788,349,-0.22341373273884
CID045269578,0.861111111111,156,-0.047083529333396004,0.833333333333,110,-0.10028212775378603,0.8804347826090001,330,-0.0063889478025219975,0.811764705882,108,-0.10458529561705499,0.758064516129,24,-0.26057639685021994,0.8210526315790001,164,-0.28359427000373993
CID044525926,0.923913043478,379,-0.036549563670526,0.838095238095,124,-0.116266459938424,0.834951456311,140,-0.006703084801497002,0.744680851064,44,-0.15515579066813204,0.894117647059,354,-0.23479922505484002,0.794392523364,115,-0.39641268268673
CID066561010,0.887640449438,255,-0.049259416897507985,0.87037037037,249,-0.08931485987645302,0.441558441558,6,-0.015230179389314,0.854368932039,212,-0.085484434067651,0.880952380952,312,-0.24845844571317993,0.837837837838,209,-0.30165533825587
CID010287409,0.7971014492749999,36,-0.04946626012109501,0.895833333333,336,-0.07306147741155901,0.8314606741570001,128,-0.008151522553336,0.8666666666670001,255,-0.07761991311238796,0.761904761905,25,-0.26225978295572,0.858585858586,292,-0.22665361967325995
CID006539606,0.830985915493,87,-0.052717688483868014,0.8842105263160001,300,-0.08311175932946298,0.790697674419,28,-0.009324983622658,0.8666666666670001,256,-0.07550994878222694,0.852941176471,207,-0.24253219270678006,0.8105263157889999,146,-0.247962663995
CID053322416,0.8032786885250001,45,-0.056397501896185,0.8433734939759999,141,-0.10082300580620603,0.83950617284,158,-0.007833645011115,0.8915662650599999,341,-0.06331756915756503,0.666666666667,14,-0.29983028648343,0.8804347826090001,351,-0.23115615991507998
CID006539572,0.883116883117,233,-0.04674221288518201,0.8152173913040001,70,-0.106939427693276,0.885416666667,343,-0.006069978673276,0.846153846154,185,-0.09004963209158098,0.842857142857,174,-0.22179432621078002,0.791666666667,111,-0.27354613702727
CID060150509,0.9010989010989999,308,-0.04872318730649701,0.891891891892,326,-0.07123229629866198,0.858490566038,239,-0.010369997926589002,0.7979797979800001,97,-0.11110295232539596,0.9080459770110001,379,-0.17287808032430999,0.8793103448280001,350,-0.22414161343061995
CID051355190,0.8723404255320001,192,-0.048284123687020994,0.868421052632,240,-0.089227552990017,0.824074074074,97,-0.00824007808582,0.8317757009350001,138,-0.09401244953310997,0.8777777777779999,303,-0.24302737015777,0.827586206897,176,-0.27406794972254
CID010086873,0.820895522388,66,-0.049051084316202,0.891304347826,320,-0.071843674204929,0.9130434782610001,390,-0.006519734842575,0.833333333333,140,-0.09422606465495399,0.8064516129029999,67,-0.2339647090835,0.8279569892470001,178,-0.2498235334981999
CID044578630,0.8488372093019999,128,-0.05389130461644301,0.838095238095,125,-0.11745004433460399,0.811881188119,56,-0.008633386569725003,0.757894736842,65,-0.13382175519529196,0.825,113,-0.25510542757698,0.805555555556,134,-0.34322848429261
CID044525940,0.923913043478,380,-0.045945741307678,0.792079207921,43,-0.11980560160089,0.8571428571430001,231,-0.006717441394519,0.757894736842,66,-0.14863253618027697,0.894117647059,355,-0.25956281883682,0.7352941176469999,60,-0.4080939822106501
CID025121268,0.776315789474,16,-0.062381358663198994,0.873786407767,258,-0.09259164304495501,0.8,38,-0.010990866873066,0.868686868687,263,-0.08557552868242002,0.810810810811,75,-0.23504758970933998,0.881818181818,353,-0.25934215775984004
CID006539455,0.8730158730159999,194,-0.05892908984160301,0.9318181818179999,396,-0.05514156476086802,0.904761904762,380,-0.005996422982334002,0.915662650602,388,-0.05236602750125599,0.862068965517,251,-0.25827986257911006,0.8777777777779999,344,-0.19626215809827002
CID011427162,0.847222222222,120,-0.051201895132644996,0.8842105263160001,301,-0.079113789808681,0.844444444444,179,-0.007528387533888,0.9148936170209999,386,-0.047280009529552025,0.8695652173909999,281,-0.21284507384538004,0.881188118812,352,-0.19201278493345
CID010161259,0.909090909091,337,-0.040307622897514,0.8217821782179999,82,-0.08815424135543101,0.875,307,-0.0060494868035089995,0.883495145631,324,-0.07220605430035303,0.9036144578309999,374,-0.18964607009221005,0.833333333333,196,-0.25847542401032997
CID046215816,0.8695652173909999,175,-0.04761952479995202,0.866071428571,227,-0.08979837723209501,0.8095238095239999,50,-0.008200075287031004,0.828571428571,135,-0.09828823064270303,0.862068965517,252,-0.25821839635284,0.814159292035,152,-0.28907372225245
CID044526071,0.774647887324,12,-0.064077433144093,0.865979381443,226,-0.087397469664216,0.851063829787,209,-0.008778420208371,0.8723404255320001,275,-0.07454850532369697,0.828571428571,128,-0.27345008704462,0.79381443299,113,-0.28209946419834
