molid,b_cs,b_cl,b_cw,b_bs,b_bl,b_bw
CID070683337,0.8953488372089999,289,-0.062428628529847006,0.9074074074070001,361,-0.061202478336737975
CID053466951,0.8426966292129999,106,-0.053256980854056,0.8648648648649999,225,-0.088461893370953
CID044529279,0.8842105263160001,240,-0.052409624501066995,0.827272727273,93,-0.10937667197691398
CID002787267,0.859375,153,-0.045051419861286,0.896551724138,338,-0.069335628055859
CID000000007,0.953125,395,-0.027886379681617994,0.915662650602,376,-0.055545423494320983
CID044532438,0.8433734939759999,110,-0.053041623385434014,0.855769230769,187,-0.09554698718286198
CID025190912,0.883720930233,237,-0.08503300689535201,0.7979797979800001,52,-0.09934249483888097
CID011715767,0.736842105263,3,-0.060439130196414004,0.8953488372089999,335,-0.07481926324744301
CID009926791,0.8953488372089999,290,-0.04834105449932501,0.7959183673469999,48,-0.13071841409510002
CID006918454,0.928571428571,384,-0.041373160171849,0.881188118812,289,-0.074790634366918
CID025033539,0.83908045977,98,-0.05231809561229401,0.8301886792450001,103,-0.09614497726841899
CID005330286,0.903225806452,317,-0.035462549460756,0.883928571429,298,-0.083328050273447
CID011626560,0.9130434782610001,353,-0.03667061416519899,0.891891891892,325,-0.07100468099096599
CID022049997,0.896551724138,298,-0.041756792333272,0.855769230769,188,-0.080096099572954
CID006450551,0.85,132,-0.050336359461136,0.826530612245,91,-0.10141562335423798
CID010452739,0.821917808219,70,-0.05155943797651902,0.8877551020409999,307,-0.078688262692892
CID023133388,0.8915662650599999,274,-0.037684277470272004,0.872549019608,255,-0.09698024092081198
CID044305910,0.911764705882,349,-0.03742341631547401,0.922222222222,388,-0.054158007204413
CID010173796,0.923913043478,378,-0.03705109303675,informer,informer,informer
CID000599038,0.929577464789,385,-0.03461347690214699,0.912087912088,370,-0.059961971497032994
CID000156414,0.91,340,-0.05042480477193501,0.881355932203,291,-0.08028877049403599
CID044526070,0.765625,6,-0.06541767922160402,0.85393258427,179,-0.095482422343021
CID044578566,0.861111111111,155,-0.04639763670072,0.8709677419349999,251,-0.08831397860595601
CID044529220,0.893203883495,279,-0.050227602458834994,0.838983050847,129,-0.11007624338237601
