molid,b_cs,b_cl,b_cw,b_bs,b_bl,b_bw
CID044525940,,,-0.25829699605199996,,,-0.40809398221065
CID006539496,,,-0.2752174547427,,,-0.22892651366942002
CID044525946,,,-0.31787666149879,,,-0.42161044177627993
CID044525945,,,-0.28128691406851003,,,-0.40904475261425
CID044525944,,,-0.34008731322825203,,,-0.44269759188944
CID053469824,,,-0.28456782935588004,,,-0.30473395111705004
CID000221158,,,-0.13525397799386,,,-0.16573711971163002
CID066561013,,,-0.3046522921416299,,,-0.30318848495568995
CID044525931,,,-0.29308004603971,,,-0.42234643643181
CID056683489,,,-0.21938648975521,,,-0.47283889843196997
CID011558948,,,-0.45965352810198,,,-0.28873513914525
CID017755233,,,-0.18034871931263002,,,-0.31540380162349
CID006539569,,,-0.22678963519609996,,,-0.25897947855304004
CID015838857,,,-0.22402960898951008,,,-0.32022412948435997
CID044529831,,,-0.21757839698942003,,,-0.35934993231388
CID046927672,,,-0.21927629183126,,,-0.49243974125709994
CID010287409,,,-0.26067248136842003,,,-0.22665361967325995
CID045271243,,,-0.21350940742184002,,,-0.25791649292145
CID006539610,,,-0.21281734976986,,,-0.24107560117817997
CID045271244,,,-0.22433187776757002,,,-0.24428184992244
CID045271247,,,-0.20776079221445998,,,-0.22078180658042
CID057394915,,,-0.23420961268551002,,,-0.27476803840852004
CID025093464,,,-0.19826047665861,,,-0.23700437823022
CID000000007,,,-0.12632143263949003,,,-0.16846876331000002
CID044306199,,,-0.19605846251086,,,-0.19894044859803
CID011716589,,,-0.49549239583533,,,-0.27264516747427
CID025263084,,,-0.19671302376372002,,,-0.26329128013266
CID025263085,,,-0.20943108646386,,,-0.25255676553795003
CID044532477,,,-0.21892678762217002,,,-0.285336530583
CID051354036,,,-0.20973458422395996,,,-0.26612402845774
CID044433573,,,-0.26849493460944995,,,-0.22428583134660002
CID044526099,,,-0.25669032074432996,,,-0.39088202046313003
CID010621826,,,-0.18113657552342,,,-0.24749038378533003
CID044532478,,,-0.21253479776255998,,,-0.28732492255319003
CID044305879,,,-0.17600895071262995,,,-0.21517415012009
CID011682470,,,-0.43237164029193004,,,-0.26531444610531996
CID070691776,,,-0.17596375656033997,,,-0.22672255975796998
CID011594774,,,-0.46216085402679996,,,-0.24836395583795995
CID006918454,,,-0.15890162678727,,,-0.20781402416126998
CID044525927,,,-0.284982083667,,,-0.41430232832957004
CID071451677,,,-0.21535305649307995,,,-0.27720121039479995
CID010186009,,,-0.21309866528014,,,-0.38179957774682005
CID009901062,,,-0.24486658241138004,,,-0.26965971881571
CID006539609,,,-0.22460256593560995,,,-0.24272818994135997
CID006539606,,,-0.24128219270678003,,,-0.247962663995
CID006539605,,,-0.24369115451078,,,-0.26634341602329004
CID006539602,,,-0.25747368843949997,,,-0.26819599997105004
CID044525961,,,-0.24567467084911004,,,-0.41073753613854
CID044525960,,,-0.27877107070626006,,,-0.42527080231232
CID044525963,,,-0.24960177289041005,,,-0.35784448435143
CID044525962,,,-0.23633774623355,,,-0.45136577326607
CID044525965,,,-0.23195570658371994,,,-0.38529691754503004
CID044525964,,,-0.30167243094942003,,,-0.3826823341981
CID044525967,,,-0.28451782866144004,,,-0.41400708746462006
CID044525966,,,-0.24026971790766,,,-0.37623439237598993
CID044525969,,,-0.21919900059974004,,,-0.36918698342245004
CID044305551,,,-0.13103409931355997,,,-0.17839001128627002
CID066561090,,,-0.2769476940907699,,,-0.30956827468886006
CID019879232,,,-0.19155573777683005,,,-0.22341373273883997
CID011224168,,,-0.20863006003149004,,,-0.30775438514183007
CID057401867,,,-0.19346042436104,,,-0.2322050874988
CID009958299,,,-0.16795356167134,,,-0.25055593145850996
CID044592364,,,-0.22480180212907,,,-0.39110369088679997
CID044527603,,,-0.26697100538035,,,-0.59563443311166
CID053467392,,,-0.2976461637092,informer,informer,informer
CID044305910,,,-0.17967677602457,,,-0.19790326802172004
CID051354327,,,-0.26478803599007006,,,-0.28271042336658003
CID005329477,,,-0.21305754763231005,,,-0.28422858322008004
CID006539463,,,-0.26014854829656,,,-0.19906741411311
CID006539461,,,-0.25245491813431997,,,-0.23657779591126005
CID051354328,,,-0.24342495513129003,,,-0.27572136803447
CID006539467,,,-0.26019479372639004,,,-0.24752981678993996
CID006539465,,,-0.28095161331193,,,-0.22133649854983994
CID057396627,,,-0.17187571024805998,,,-0.22929096204446
CID044529262,,,-0.25249081542889,,,-0.47632170270504004
CID000599038,,,-0.18957537505191996,,,-0.196785875332
CID044535870,,,-0.23687331764626002,,,-0.23671304831762
CID044529114,,,-0.25472186559487003,informer,informer,informer
CID010086873,,,-0.23263137575016,,,-0.24982353349819994
CID044529385,,,-0.15775331486299998,,,-0.21496385169820997
CID049862783,,,-0.20500721131696004,,,-0.25535485760776994
CID053466951,,,-0.27412322577595,,,-0.28544823774385
CID051357954,,,-0.23616433523809993,,,-0.25086502727097
CID006539588,,,-0.19325634159144,,,-0.2572615517693
CID045269578,,,-0.25860918373545994,,,-0.28359427000373993
CID044525972,,,-0.23129424381460995,,,-0.37210127006986005
CID009903786,,,-0.20405148668943,,,-0.21227481505343992
CID006539587,,,-0.21532222625904002,,,-0.21851473684448997
CID005329481,,,-0.21549194492067997,,,-0.24356675630858007
CID006539582,,,-0.20825897241815997,,,-0.28909581360109
CID006539480,,,-0.22960459452733,,,-0.19694771099062
CID044525932,,,-0.3219987181218,,,-0.42090413178189
CID044525933,,,-0.2801276997385,,,-0.39982587124474
CID070683337,,,-0.16867786306419003,,,-0.20593043362528007
CID044525936,,,-0.24460991568446,,,-0.41731354268390997
CID044525937,,,-0.28370764869565995,,,-0.40261712626586
CID044525934,,,-0.33672852523729996,,,-0.43265622272838
CID044525935,,,-0.26738173888933003,,,-0.40336624452533004
CID010358578,,,-0.21590263033509,,,-0.22143267580332002
CID044525938,,,-0.3207273402177,,,-0.42326041577173
CID044525939,,,-0.30598258763708996,,,-0.4252958596549301
CID070683338,,,-0.18290751204831995,,,-0.21094548471240998
CID044526068,,,-0.24493811889824002,,,-0.26014017828611
CID044591845,,,-0.19220491675924,,,-0.39536050674078993
CID044397393,,,-0.17481546807836001,,,-0.21191388876434997
CID025263079,,,-0.21623810971176005,,,-0.26925429178158
