molid,b_cs,b_cl,b_cw,b_bs,b_bl,b_bw
44571435,0.8571428571430001,169,-0.12872507926429094,0.846153846154,298,-0.4584060968542061
44571449,0.840336134454,114,-0.13747926490972098,0.821138211382,196,-0.48130582338504396
44571453,0.844036697248,129,-0.134681243749496,0.844036697248,238,-0.45884576100518404
44578253,0.867346938776,200,-0.116861636069372,0.831683168317,242,-0.4470232803921629
44578254,0.852631578947,153,-0.12609119119768097,0.84,276,-0.435807436542859
44578255,0.877551020408,233,-0.11007617359980698,0.841584158416,282,-0.436896134329751
44578401,0.88,245,-0.10811619941475303,0.844660194175,294,-0.4443817092352449
44578425,0.88,246,-0.10869532458464903,0.855769230769,258,-0.44923242127151397
44578563,0.873684210526,224,-0.11341972950401902,0.86,320,-0.40074967369013004
44578672,0.8518518518520001,151,-0.12995049513017695,0.8303571428569999,232,-0.5130515131625291
44581222,0.632653061224,13,-0.28724748830988306,0.632653061224,32,-0.7423776638548769
44581245,0.24675324675299998,1,-0.5585941419830021,0.24675324675299998,7,-1.0593675399349332
44581765,0.35802469135799997,2,-0.4822131255121951,0.35802469135799997,13,-0.978893523576277
44587530,0.823008849558,72,-0.15555772479137497,0.813559322034,170,-0.544313227851386
44589696,0.8962264150939999,284,-0.10294860584531307,0.872727272727,330,-0.41047015748643895
44593640,0.875,227,-0.112335458036305,0.841121495327,278,-0.444091317463361
449054,0.882978723404,254,-0.10764380327149402,0.821917808219,105,-0.44783033171869413
453216,0.8314606741570001,88,-0.13378203717326695,0.8314606741570001,253,-0.39787275181457493
5034,0.927835051546,346,-0.062205370306482016,0.785714285714,53,-0.520068149795816
53239955,0.878787878788,238,-0.10456347442251299,0.7894736842110001,42,-0.6240683587785949
53239967,0.92523364486,342,-0.06797461919250299,informer,informer,informer
53239978,0.915887850467,333,-0.07386761927990497,0.817073170732,70,-0.49136170371990995
53239984,0.8,34,-0.16323920175920897,0.8,128,-0.500403013896378
53239985,0.794392523364,26,-0.166736785715528,0.794392523364,109,-0.5149273539343961
53239988,0.6116504854370001,12,-0.303197762916972,0.611111111111,31,-0.814851378878254
5329404,0.9069767441859999,315,-0.13382611757696805,0.8805970149250001,281,-0.358445013089133
5329489,0.894736842105,279,-0.10003284575341398,0.8369565217389999,141,-0.5176996657083941
5329801,0.8777777777779999,235,-0.11309753809302805,0.803571428571,48,-0.48414720938862604
5329802,0.865168539326,192,-0.13177783270836402,0.7818181818179999,18,-0.526307054262393
5329829,0.8348623853210001,99,-0.14576569537866893,informer,informer,informer
5329831,0.855855855856,164,-0.12981757567076702,0.854700854701,213,-0.503711107230651
