molid,rop18_c_s_2,rop18_c_l_2,rop18_c_w_2,rop18_p_s_2,rop18_p_l_2,rop18_p_w_2
CID044525926,nan,nan,-0.23326076351638003,nan,nan,-0.39641268268673
CID044525921,nan,nan,-0.28282575926486,nan,nan,-0.39380330384842
CID044525920,nan,nan,-0.2861632673492,nan,nan,-0.40673312544125995
CID044525923,nan,nan,-0.30409811431045997,nan,nan,-0.42279206842054995
CID044525922,nan,nan,-0.33105865339025,nan,nan,-0.4277201357928001
CID044397230,nan,nan,-0.20801288298032997,nan,nan,-0.22767679530556995
CID022609863,nan,nan,-0.23655877028227,nan,nan,-0.2827738156886
CID000156422,nan,nan,-0.20598022691642004,nan,nan,-0.29538953705845
CID044526069,nan,nan,-0.25530030498490003,nan,nan,-0.26011600161195003
CID006539376,nan,nan,-0.19519440745292999,nan,nan,-0.46974408806795
CID025263102,nan,nan,-0.16535073094113,nan,nan,-0.22539019725167003
CID025263100,nan,nan,-0.20253288917851003,nan,nan,-0.23998673440188
CID023648890,nan,nan,-0.22398491375304005,informer,informer,informer
CID025263105,nan,nan,-0.18160104079810999,nan,nan,-0.23128442881651
CID006539427,nan,nan,-0.23114523641060997,nan,nan,-0.47670355630177996
CID024804780,nan,nan,-0.20496235421299003,nan,nan,-0.40280931054056995
CID006538884,nan,nan,-0.23835737853666994,nan,nan,-0.20560154392337
CID044591552,nan,nan,-0.24683722970471,nan,nan,-0.36918506336046
CID015521230,nan,nan,-0.21020864704918998,nan,nan,-0.30345797071144
CID006539428,nan,nan,-0.23173381695227002,nan,nan,-0.46643825214741996
CID005329826,nan,nan,-0.19515869931567,informer,informer,informer
CID057403579,nan,nan,-0.18479767302994002,nan,nan,-0.24265288372458999
CID011197671,nan,nan,-0.19055348523153,nan,nan,-0.2504600856254
CID044532712,nan,nan,-0.24083195435243998,nan,nan,-0.37425264385977
CID046215814,nan,nan,-0.23506829689840003,nan,nan,-0.25113619691223
CID046215816,nan,nan,-0.25677261322030004,nan,nan,-0.28907372225245
CID011427162,nan,nan,-0.21125777225808007,nan,nan,-0.19201278493345
CID010186182,nan,nan,-0.17884487115619996,nan,nan,-0.3018892098692201
CID010151417,nan,nan,-0.19723105139100003,informer,informer,informer
CID010595057,nan,nan,-0.21239986266817007,nan,nan,-0.28464783084497997
CID010183216,nan,nan,-0.21419540659463,nan,nan,-0.26147692189206007
CID053466728,nan,nan,-0.29604826467876,nan,nan,-0.31094863725806005
CID010158539,nan,nan,-0.41638468517495003,nan,nan,-0.28606827468879004
CID025121268,nan,nan,-0.23396650862826,nan,nan,-0.25934215775984004
CID000099545,nan,nan,-0.19612426388911997,nan,nan,-0.1887429071501
CID009888013,nan,nan,-0.26542268259649,nan,nan,-0.37914017544879997
CID044305812,nan,nan,-0.12442549616942998,nan,nan,-0.17661512965012
CID006539566,nan,nan,-0.20110552395514,nan,nan,-0.22030045214297997
CID009945696,nan,nan,-0.22856649106239996,nan,nan,-0.25979954415646
CID010028480,nan,nan,-0.19026723750604005,nan,nan,-0.26374384281313
CID009926791,nan,nan,-0.17521604760567,nan,nan,-0.25785161049638006
CID044525949,nan,nan,-0.29599973253839,nan,nan,-0.42975771533211
CID044525948,nan,nan,-0.26409108495095995,nan,nan,-0.4084975579488301
CID057400063,nan,nan,-0.16861713528606004,nan,nan,-0.24497102865774997
CID006539492,nan,nan,-0.23981008493212996,nan,nan,-0.22994553777841997
CID044525942,nan,nan,-0.28592781200306006,nan,nan,-0.42235004141462995
CID044525941,nan,nan,-0.22498844313648,nan,nan,-0.39184881461873
CID044525940,nan,nan,-0.25829699605199996,nan,nan,-0.40809398221065
CID006539496,nan,nan,-0.2752174547427,nan,nan,-0.22892651366942002
CID044525946,nan,nan,-0.31787666149879,nan,nan,-0.42161044177627993
CID044525945,nan,nan,-0.28128691406851003,nan,nan,-0.40904475261425
CID044525944,nan,nan,-0.34008731322825203,nan,nan,-0.44269759188944
CID053469824,nan,nan,-0.28456782935588004,nan,nan,-0.30473395111705004
CID000221158,nan,nan,-0.13525397799386,nan,nan,-0.16573711971163002
CID066561013,nan,nan,-0.3046522921416299,nan,nan,-0.30318848495568995
CID044525931,nan,nan,-0.29308004603971,nan,nan,-0.42234643643181
CID056683489,nan,nan,-0.21938648975521,nan,nan,-0.47283889843196997
CID011558948,nan,nan,-0.45965352810198,nan,nan,-0.28873513914525
CID017755233,nan,nan,-0.18034871931263002,nan,nan,-0.31540380162349
CID006539569,nan,nan,-0.22678963519609996,nan,nan,-0.25897947855304004
CID015838857,nan,nan,-0.22402960898951008,nan,nan,-0.32022412948435997
CID044529831,nan,nan,-0.21757839698942003,nan,nan,-0.35934993231388
CID046927672,nan,nan,-0.21927629183126,nan,nan,-0.49243974125709994
